id_suministro,id_cliente,direccion_suministro,distrito,cod_sector,zona,nivel_tension,id_sist_electrico,fecha_alta_suministro,estado_suministro
5738674,27,Psje. Flores 677,Carabayllo,CARABAYLLO_001,Zona_09,BT,7,2025-03-28,ACTIVO
9855189,28,Jr. Vargas 787,Magdalena del Mar,MAGDALENA_001,Zona_04,BT,5,2022-02-17,ACTIVO
2546166,29,Jr. Pérez 279,Punta Hermosa,PUNTAHERMOSA_001,Zona_02,BT,4,2024-10-08,ACTIVO
2731878,30,Av. García 558,La Molina,LAMOLINA_001,Zona_03,BT,2,2020-06-15,ACTIVO
8427481,31,Psje. Rodríguez 902,Santiago de Surco,SURCO_001,Zona_09,BT,1,2024-11-03,SUSPENDIDO
5685865,32,Av. Rojas 467,Carabayllo,CARABAYLLO_001,Zona_08,BT,3,2025-07-25,ACTIVO
4276570,33,Av. Huamán 422,Lince,LINCE_001,Zona_04,BT,3,2024-06-11,ACTIVO
9736006,34,Calle Rojas 858,Villa El Salvador,VES_001,Zona_10,BT,2,2025-05-12,ACTIVO
2137074,34,Jr. Romero 404,Villa El Salvador,VES_001,Zona_05,BT,7,2025-09-05,ACTIVO
7583096,35,Jr. Castro 955,San Juan de Miraflores,SANJUANDEMIRAFLORES_001,Zona_05,BT,6,2022-04-12,ACTIVO
7818477,36,Av. García 138,Pucusana,PUCUSANA_001,Zona_10,BT,1,2024-09-03,ACTIVO
8525518,36,Psje. Lopez 476,Pucusana,PUCUSANA_001,Zona_02,BT,3,2020-06-20,ACTIVO
2861399,37,Jr. Vargas 454,Chaclacayo,CHACLACAYO_001,Zona_01,BT,4,2024-06-06,ACTIVO
2009181,38,Calle Herrera 108,Lurín,LURIN_001,Zona_08,BT,4,2024-03-03,RETIRADO
8258816,39,Psje. Torres 736,Chorrillos,CHORRILLOS_001,Zona_10,BT,5,2021-07-31,ACTIVO
8315062,40,Psje. Díaz 529,San Luis,SANLUIS_001,Zona_02,BT,5,2021-01-13,ACTIVO
9678710,41,Jr. Flores 584,Cieneguilla,CIENEGUILLA_001,Zona_07,BT,2,2024-03-18,ACTIVO
6980511,41,Calle Chávez 989,Cieneguilla,CIENEGUILLA_001,Zona_07,BT,7,2020-02-16,ACTIVO
3581136,42,Psje. Vargas 945,San Bartolo,SANBARTOLO_001,Zona_07,BT,4,2023-09-06,ACTIVO
9274838,43,Av. García 163,Ancón,ANCON_001,Zona_06,BT,1,2021-10-26,ACTIVO
3257550,43,Psje. Rojas 520,Ancón,ANCON_001,Zona_06,BT,7,2024-02-15,ACTIVO
4262495,44,Calle Pérez 718,Chaclacayo,CHACLACAYO_001,Zona_04,BT,3,2024-12-06,ACTIVO
4550563,44,Psje. Huamán 919,Chaclacayo,CHACLACAYO_001,Zona_01,BT,3,2020-05-12,ACTIVO
5048535,45,Psje. Castro 190,San Isidro,SANISIDRO_001,Zona_01,BT,6,2024-08-19,ACTIVO
1630096,46,Psje. Chávez 376,Villa El Salvador,VES_001,Zona_09,BT,2,2019-05-20,ACTIVO
5101678,47,Jr. Quispe 148,Breña,BRENA_001,Zona_09,BT,6,2024-10-07,ACTIVO
4492593,48,Av. Chávez 243,Barranco,BARRANCO_001,Zona_02,BT,6,2023-05-05,ACTIVO
2232117,49,Psje. Díaz 780,El Agustino,ELAGUSTINO_001,Zona_08,BT,5,2024-07-03,ACTIVO
7772134,49,Calle Quispe 701,El Agustino,ELAGUSTINO_001,Zona_02,BT,3,2025-06-11,ACTIVO
1433904,50,Av. Sánchez 471,Ancón,ANCON_001,Zona_02,BT,7,2023-02-15,ACTIVO
1183813,51,Psje. Torres 220,Miraflores,MIRAFLORES_001,Zona_08,BT,2,2024-02-12,ACTIVO
7915956,52,Psje. Rodríguez 268,Surquillo,SURQUILLO_001,Zona_09,BT,3,2021-12-27,ACTIVO
6400909,53,Psje. Pérez 893,San Bartolo,SANBARTOLO_001,Zona_09,BT,4,2022-04-06,ACTIVO
1502475,54,Calle García 218,Comas,COMAS_001,Zona_03,BT,5,2025-08-12,ACTIVO
1701987,55,Calle Huamán 406,Magdalena del Mar,MAGDALENA_001,Zona_09,BT,1,2022-06-14,ACTIVO
5136113,56,Calle Sánchez 722,La Victoria,LAVICTORIA_001,Zona_04,BT,7,2023-10-30,ACTIVO
8309226,57,Calle Huamán 167,Breña,BRENA_001,Zona_01,BT,6,2025-07-26,ACTIVO
5888598,58,Av. Ramírez 220,Puente Piedra,PUENTEPEDRA_001,Zona_05,BT,2,2024-04-01,ACTIVO
4119353,58,Psje. Gonzales 734,Puente Piedra,PUENTEPEDRA_001,Zona_01,BT,1,2021-12-21,ACTIVO
6103371,59,Calle Díaz 116,Pachacámac,PACHACAMAC_001,Zona_08,MT,8,2023-07-28,ACTIVO
2891119,60,Psje. Pérez 538,Santa Anita,SANTANITA_001,Zona_04,BT,2,2025-08-29,ACTIVO
5740368,60,Calle Flores 621,Santa Anita,SANTANITA_001,Zona_06,BT,4,2023-08-16,ACTIVO
6449475,61,Calle Flores 502,San Juan de Lurigancho,SJL_001,Zona_06,BT,1,2024-07-29,ACTIVO
4556956,62,Psje. Sánchez 681,Chorrillos,CHORRILLOS_001,Zona_10,BT,2,2020-01-26,ACTIVO
9648574,63,Psje. Gonzales 647,Santa Anita,SANTANITA_001,Zona_07,BT,8,2021-10-10,ACTIVO
1435642,64,Jr. Pérez 218,Independencia,INDEPENDENCIA_001,Zona_07,BT,4,2025-04-08,ACTIVO
7065514,65,Psje. Díaz 442,Pueblo Libre,PUEBLOLIBRE_001,Zona_08,BT,4,2022-02-21,ACTIVO
3564811,66,Psje. Chávez 484,Chaclacayo,CHACLACAYO_001,Zona_08,BT,8,2025-01-16,ACTIVO
8816428,66,Jr. Romero 277,Chaclacayo,CHACLACAYO_001,Zona_01,BT,8,2022-11-05,ACTIVO
4773765,67,Calle Díaz 706,El Agustino,ELAGUSTINO_001,Zona_10,BT,1,2025-01-27,ACTIVO
7950605,68,Jr. Torres 995,Magdalena del Mar,MAGDALENA_001,Zona_06,BT,4,2024-09-16,SUSPENDIDO
4725375,68,Psje. Díaz 954,Magdalena del Mar,MAGDALENA_001,Zona_02,BT,4,2025-01-27,ACTIVO
9565663,69,Av. Quispe 273,Santiago de Surco,SURCO_001,Zona_04,BT,1,2024-09-28,ACTIVO
8291431,70,Psje. Mendoza 929,Pueblo Libre,PUEBLOLIBRE_001,Zona_07,BT,8,2024-08-21,ACTIVO
7554413,71,Psje. Huamán 374,Comas,COMAS_001,Zona_08,BT,6,2021-12-21,ACTIVO
4170191,72,Jr. Castro 576,Lurigancho-Chosica,LURIGANCHO_001,Zona_06,MT,1,2025-06-07,ACTIVO
7544570,73,Psje. Díaz 391,Lurín,LURIN_001,Zona_08,BT,1,2023-03-08,ACTIVO
2292996,74,Av. Rodríguez 869,Breña,BRENA_001,Zona_05,BT,6,2021-01-24,RETIRADO
9337158,75,Calle Flores 657,Santiago de Surco,SURCO_001,Zona_01,BT,5,2025-09-05,ACTIVO
1714618,76,Jr. García 443,Chaclacayo,CHACLACAYO_001,Zona_07,BT,8,2023-05-29,ACTIVO
5811467,76,Psje. Torres 282,Chaclacayo,CHACLACAYO_001,Zona_05,BT,3,2022-12-15,ACTIVO
3335768,77,Av. Rojas 776,Jesús María,JESUSMARIA_001,Zona_05,BT,3,2025-09-08,ACTIVO
8980009,78,Av. Romero 518,Lince,LINCE_001,Zona_06,BT,4,2025-10-02,ACTIVO
2792476,79,Jr. Rojas 399,Los Olivos,LOSOLIVOS_001,Zona_03,BT,2,2025-09-12,ACTIVO
3113573,79,Av. Flores 280,Los Olivos,LOSOLIVOS_001,Zona_07,BT,8,2025-07-23,ACTIVO
3046894,80,Av. Salazar 895,La Victoria,LAVICTORIA_001,Zona_07,BT,5,2023-09-27,ACTIVO
8719270,81,Psje. García 669,Carabayllo,CARABAYLLO_001,Zona_08,BT,5,2025-04-18,ACTIVO
6920405,82,Jr. Quispe 417,Puente Piedra,PUENTEPEDRA_001,Zona_02,BT,8,2023-10-11,ACTIVO
1292302,83,Psje. Rojas 259,Magdalena del Mar,MAGDALENA_001,Zona_06,BT,5,2025-10-30,ACTIVO
8466385,84,Calle Chávez 173,San Martín de Porres,SMP_001,Zona_08,BT,2,2025-09-14,ACTIVO
9738786,85,Av. Gonzales 416,San Borja,SANBORJA_001,Zona_01,MT,4,2025-04-22,ACTIVO
6922459,86,Av. Flores 636,Punta Hermosa,PUNTAHERMOSA_001,Zona_04,BT,2,2023-04-04,ACTIVO
5844531,87,Jr. Chávez 271,Independencia,INDEPENDENCIA_001,Zona_02,BT,7,2025-06-16,ACTIVO
7086655,88,Jr. Vargas 997,Lince,LINCE_001,Zona_02,BT,8,2024-12-28,ACTIVO
4579812,88,Psje. Ramírez 928,Lince,LINCE_001,Zona_07,BT,8,2022-03-16,ACTIVO
7552949,89,Psje. Rodríguez 582,San Borja,SANBORJA_001,Zona_06,BT,1,2021-01-20,ACTIVO
1792479,89,Av. Castro 116,San Borja,SANBORJA_001,Zona_01,BT,3,2024-03-16,ACTIVO
2773803,90,Calle Mendoza 693,Miraflores,MIRAFLORES_001,Zona_08,BT,5,2025-07-16,ACTIVO
9531550,90,Psje. Pérez 618,Miraflores,MIRAFLORES_001,Zona_08,BT,5,2025-10-30,ACTIVO
2591432,91,Psje. Ramírez 672,Magdalena del Mar,MAGDALENA_001,Zona_01,BT,8,2025-08-10,ACTIVO
6450317,91,Av. Rodríguez 710,Magdalena del Mar,MAGDALENA_001,Zona_02,BT,8,2024-02-27,ACTIVO
2388658,92,Av. Vargas 422,Cieneguilla,CIENEGUILLA_001,Zona_06,BT,5,2023-01-06,ACTIVO
4455286,93,Jr. Romero 700,Miraflores,MIRAFLORES_001,Zona_08,BT,2,2024-01-02,ACTIVO
7447206,94,Calle Romero 853,Los Olivos,LOSOLIVOS_001,Zona_02,BT,7,2025-04-16,ACTIVO
4016487,95,Calle Sánchez 943,Punta Hermosa,PUNTAHERMOSA_001,Zona_03,BT,5,2023-07-22,ACTIVO
8026125,96,Jr. Quispe 150,San Miguel,SANMIGUEL_001,Zona_06,BT,8,2024-03-12,RETIRADO
3116394,97,Psje. García 115,Villa María del Triunfo,VMT_001,Zona_08,BT,2,2025-10-08,SUSPENDIDO
8971931,98,Calle Torres 313,Pueblo Libre,PUEBLOLIBRE_001,Zona_07,BT,1,2021-08-28,ACTIVO
3358414,99,Calle Ramírez 643,Comas,COMAS_001,Zona_01,BT,5,2025-05-27,ACTIVO
1089175,100,Calle Herrera 642,Magdalena del Mar,MAGDALENA_001,Zona_07,BT,4,2025-10-22,ACTIVO
3727404,100,Calle Salazar 902,Magdalena del Mar,MAGDALENA_001,Zona_10,BT,1,2025-10-27,SUSPENDIDO
2447984,101,Jr. Herrera 318,Barranco,BARRANCO_001,Zona_03,BT,3,2024-12-12,RETIRADO
6553680,102,Calle Pérez 684,Santa María del Mar,SANTAMARIADELMAR_001,Zona_05,BT,1,2022-02-01,ACTIVO
1541754,103,Av. Quispe 363,La Molina,LAMOLINA_001,Zona_01,BT,1,2024-01-14,ACTIVO
2647713,104,Av. Torres 945,Villa El Salvador,VES_001,Zona_07,BT,8,2024-06-14,ACTIVO
3456338,105,Av. Torres 300,Lurigancho-Chosica,LURIGANCHO_001,Zona_02,BT,5,2022-07-17,ACTIVO
4675434,106,Jr. Rodríguez 313,Punta Hermosa,PUNTAHERMOSA_001,Zona_05,BT,2,2020-03-15,ACTIVO
8677359,106,Jr. Huamán 585,Punta Hermosa,PUNTAHERMOSA_001,Zona_07,BT,2,2020-08-18,ACTIVO
8217648,107,Jr. Huamán 113,Breña,BRENA_001,Zona_03,BT,1,2025-08-01,ACTIVO
4369217,107,Jr. Herrera 779,Breña,BRENA_001,Zona_02,MT,8,2024-02-22,ACTIVO
7789164,108,Jr. Flores 488,Punta Negra,PUNTANEGRA_001,Zona_06,BT,1,2023-09-17,RETIRADO
2000349,108,Calle Díaz 200,Punta Negra,PUNTANEGRA_001,Zona_10,BT,2,2022-05-08,ACTIVO
1945727,109,Av. Quispe 725,Pachacámac,PACHACAMAC_001,Zona_09,MT,5,2024-06-02,ACTIVO
3545061,110,Psje. Quispe 987,San Luis,SANLUIS_001,Zona_04,BT,6,2025-07-16,ACTIVO
2919087,111,Av. Gonzales 401,La Victoria,LAVICTORIA_001,Zona_04,BT,3,2025-08-26,ACTIVO
8739910,112,Psje. Rodríguez 531,Pueblo Libre,PUEBLOLIBRE_001,Zona_05,BT,5,2025-10-28,ACTIVO
2514770,113,Calle Herrera 659,Magdalena del Mar,MAGDALENA_001,Zona_03,BT,1,2021-11-12,ACTIVO
3253679,113,Psje. Gonzales 413,Magdalena del Mar,MAGDALENA_001,Zona_09,BT,5,2025-04-30,ACTIVO
1690860,114,Jr. Herrera 862,Santiago de Surco,SURCO_001,Zona_07,BT,5,2021-04-26,SUSPENDIDO
7021895,115,Calle Pérez 491,Ancón,ANCON_001,Zona_08,BT,2,2025-10-20,ACTIVO
8373156,116,Av. Castro 847,Lurigancho-Chosica,LURIGANCHO_001,Zona_03,BT,3,2025-02-05,ACTIVO
4461964,117,Calle Torres 237,Carabayllo,CARABAYLLO_001,Zona_10,BT,3,2020-08-06,ACTIVO
5012131,118,Av. Rojas 732,Lurín,LURIN_001,Zona_09,BT,8,2024-07-22,ACTIVO
4944877,118,Av. García 107,Lurín,LURIN_001,Zona_06,BT,3,2025-01-10,ACTIVO
8236027,119,Psje. Pérez 203,Pachacámac,PACHACAMAC_001,Zona_07,BT,8,2023-11-01,ACTIVO
6728703,120,Av. Chávez 806,San Juan de Lurigancho,SJL_001,Zona_08,BT,6,2023-10-24,ACTIVO
3399251,121,Av. Huamán 425,Villa María del Triunfo,VMT_001,Zona_05,BT,8,2024-09-22,ACTIVO
2499934,122,Jr. Torres 636,Lince,LINCE_001,Zona_09,BT,5,2023-06-07,ACTIVO
1160079,123,Calle Chávez 810,San Luis,SANLUIS_001,Zona_02,BT,6,2025-09-26,ACTIVO
5893673,123,Psje. Gonzales 408,San Luis,SANLUIS_001,Zona_08,BT,2,2024-11-30,ACTIVO
6492557,124,Av. Rojas 800,San Bartolo,SANBARTOLO_001,Zona_01,BT,8,2024-04-07,ACTIVO
7722824,125,Psje. Pérez 655,Santa Anita,SANTANITA_001,Zona_09,BT,2,2024-07-27,ACTIVO
6797449,126,Psje. Herrera 588,La Molina,LAMOLINA_001,Zona_08,BT,8,2023-09-05,ACTIVO
4840349,127,Av. García 401,Lurigancho-Chosica,LURIGANCHO_001,Zona_09,BT,4,2025-07-16,ACTIVO
2021313,128,Jr. Vargas 551,Pueblo Libre,PUEBLOLIBRE_001,Zona_07,BT,5,2025-10-02,ACTIVO
1972325,128,Psje. Pérez 815,Pueblo Libre,PUEBLOLIBRE_001,Zona_06,BT,8,2024-03-20,ACTIVO
2083857,129,Calle Romero 619,Comas,COMAS_001,Zona_07,BT,1,2019-04-20,ACTIVO
2851000,129,Calle García 491,Comas,COMAS_001,Zona_10,BT,6,2021-06-24,ACTIVO
5188877,130,Calle Sánchez 869,Lurigancho-Chosica,LURIGANCHO_001,Zona_05,BT,3,2025-04-27,ACTIVO
5832978,131,Jr. Castro 165,Pucusana,PUCUSANA_001,Zona_04,BT,1,2023-03-26,ACTIVO
4933807,132,Jr. Díaz 342,Santa Anita,SANTANITA_001,Zona_02,BT,7,2021-09-02,ACTIVO
3099071,132,Jr. Ramírez 846,Santa Anita,SANTANITA_001,Zona_03,BT,5,2023-07-02,ACTIVO
1013497,133,Av. Pérez 713,Punta Hermosa,PUNTAHERMOSA_001,Zona_07,BT,5,2025-06-30,ACTIVO
5416813,134,Av. García 257,Santiago de Surco,SURCO_001,Zona_02,BT,4,2024-11-01,SUSPENDIDO
8061060,135,Calle Salazar 352,Punta Hermosa,PUNTAHERMOSA_001,Zona_03,BT,3,2025-09-28,ACTIVO
7169735,136,Jr. Rojas 967,Lince,LINCE_001,Zona_02,BT,2,2022-08-04,ACTIVO
7217819,137,Calle Gonzales 645,Chaclacayo,CHACLACAYO_001,Zona_03,BT,1,2021-04-01,ACTIVO
3185249,138,Psje. Vargas 979,Ancón,ANCON_001,Zona_10,BT,3,2025-10-21,ACTIVO
7993854,139,Jr. Herrera 822,Magdalena del Mar,MAGDALENA_001,Zona_03,BT,6,2021-08-08,ACTIVO
1557371,140,Psje. Herrera 207,Santa María del Mar,SANTAMARIADELMAR_001,Zona_04,BT,3,2020-07-01,ACTIVO
5854132,141,Psje. Sánchez 983,Breña,BRENA_001,Zona_07,BT,4,2024-02-28,SUSPENDIDO
6869597,142,Psje. Chávez 813,San Miguel,SANMIGUEL_001,Zona_04,BT,4,2023-08-25,ACTIVO
6259213,142,Calle Pérez 211,San Miguel,SANMIGUEL_001,Zona_06,BT,1,2020-11-18,ACTIVO
1055138,143,Jr. Sánchez 576,Surquillo,SURQUILLO_001,Zona_07,BT,2,2022-10-13,ACTIVO
6881125,144,Calle Torres 108,Villa María del Triunfo,VMT_001,Zona_06,BT,5,2024-05-27,ACTIVO
9495352,144,Jr. Flores 713,Villa María del Triunfo,VMT_001,Zona_01,BT,6,2025-07-20,ACTIVO
1048635,145,Av. Sánchez 476,San Isidro,SANISIDRO_001,Zona_07,BT,6,2019-06-14,ACTIVO
5934765,146,Av. Lopez 937,San Juan de Lurigancho,SJL_001,Zona_09,BT,7,2025-02-05,ACTIVO
2340246,147,Av. Rodríguez 205,San Juan de Miraflores,SANJUANDEMIRAFLORES_001,Zona_09,BT,4,2025-10-25,ACTIVO
7350552,148,Av. Ramírez 414,La Molina,LAMOLINA_001,Zona_07,BT,7,2022-05-22,ACTIVO
4081356,149,Calle Rojas 926,Barranco,BARRANCO_001,Zona_10,BT,4,2025-09-06,ACTIVO
6463323,150,Jr. Rojas 545,Santa Anita,SANTANITA_001,Zona_09,BT,8,2023-07-31,ACTIVO
8461133,151,Psje. Romero 563,Cieneguilla,CIENEGUILLA_001,Zona_06,BT,7,2022-11-13,ACTIVO
2755202,151,Calle Lopez 431,Cieneguilla,CIENEGUILLA_001,Zona_06,BT,4,2023-10-07,ACTIVO
9959833,152,Av. Flores 323,Villa María del Triunfo,VMT_001,Zona_08,BT,6,2024-03-22,SUSPENDIDO
4334059,153,Jr. Chávez 783,Ancón,ANCON_001,Zona_02,BT,2,2021-06-29,ACTIVO
7695313,154,Calle Romero 415,Villa El Salvador,VES_001,Zona_07,BT,5,2025-10-08,ACTIVO
2184613,155,Jr. Flores 368,San Bartolo,SANBARTOLO_001,Zona_04,BT,6,2025-02-16,ACTIVO
4215854,156,Calle Vargas 968,San Juan de Lurigancho,SJL_001,Zona_03,BT,2,2025-08-10,ACTIVO
4445076,157,Jr. García 871,Comas,COMAS_001,Zona_10,BT,4,2025-09-25,ACTIVO
7010725,158,Calle Quispe 161,Carabayllo,CARABAYLLO_001,Zona_02,BT,4,2025-06-16,ACTIVO
8170100,159,Psje. Flores 506,San Martín de Porres,SMP_001,Zona_02,BT,2,2021-05-22,ACTIVO
9067592,160,Psje. Vargas 897,Ate,ATE_001,Zona_05,BT,2,2025-02-08,ACTIVO
5752978,161,Calle Vargas 990,San Juan de Lurigancho,SJL_001,Zona_09,BT,8,2022-09-25,ACTIVO
3740653,161,Calle Quispe 848,San Juan de Lurigancho,SJL_001,Zona_02,BT,1,2021-03-06,ACTIVO
7497637,162,Calle Quispe 156,Lurigancho-Chosica,LURIGANCHO_001,Zona_03,BT,1,2024-05-30,ACTIVO
1448200,163,Psje. Torres 664,Puente Piedra,PUENTEPEDRA_001,Zona_07,BT,4,2019-11-04,ACTIVO
5368186,164,Calle Herrera 204,Jesús María,JESUSMARIA_001,Zona_03,BT,7,2025-08-05,ACTIVO
1522068,165,Psje. Huamán 585,Breña,BRENA_001,Zona_07,BT,5,2025-10-10,ACTIVO
3707096,165,Psje. Herrera 722,Breña,BRENA_001,Zona_01,BT,5,2024-03-22,RETIRADO
4232557,166,Av. Sánchez 620,Jesús María,JESUSMARIA_001,Zona_07,BT,5,2023-12-07,ACTIVO
7132409,167,Av. Gonzales 346,Surquillo,SURQUILLO_001,Zona_08,BT,5,2020-12-08,ACTIVO
4087050,168,Calle Herrera 497,Santa Anita,SANTANITA_001,Zona_01,MT,5,2023-05-27,ACTIVO
2691366,169,Psje. Gonzales 321,Ancón,ANCON_001,Zona_05,BT,2,2023-06-26,ACTIVO
3288123,170,Av. Herrera 879,Lurigancho-Chosica,LURIGANCHO_001,Zona_06,BT,3,2025-04-19,ACTIVO
2701122,170,Av. Pérez 864,Lurigancho-Chosica,LURIGANCHO_001,Zona_03,BT,4,2025-09-17,ACTIVO
5537403,171,Calle Díaz 917,Lurigancho-Chosica,LURIGANCHO_001,Zona_05,BT,3,2025-04-07,ACTIVO
3034331,172,Jr. Torres 259,San Juan de Lurigancho,SJL_001,Zona_08,BT,1,2025-07-05,ACTIVO
2234671,172,Psje. Vargas 843,San Juan de Lurigancho,SJL_001,Zona_05,BT,1,2025-10-09,ACTIVO
7058424,173,Calle Gonzales 440,Ate,ATE_001,Zona_07,BT,2,2018-08-25,ACTIVO
1952627,174,Av. Chávez 813,Surquillo,SURQUILLO_001,Zona_03,BT,6,2022-06-12,ACTIVO
5275691,175,Psje. Lopez 802,La Victoria,LAVICTORIA_001,Zona_07,MT,4,2022-01-30,ACTIVO
7059120,175,Psje. Pérez 415,La Victoria,LAVICTORIA_001,Zona_04,MT,6,2024-05-31,ACTIVO
3182567,176,Jr. Rodríguez 498,San Juan de Miraflores,SANJUANDEMIRAFLORES_001,Zona_05,BT,8,2025-09-11,ACTIVO
5229062,177,Av. Salazar 985,Jesús María,JESUSMARIA_001,Zona_05,BT,3,2025-10-02,ACTIVO
7891202,178,Calle Torres 968,Rímac,RIMAC_001,Zona_06,BT,3,2024-01-21,ACTIVO
2556353,179,Jr. Sánchez 466,Santa Anita,SANTANITA_001,Zona_01,BT,5,2023-03-12,ACTIVO
5361789,179,Calle Torres 387,Santa Anita,SANTANITA_001,Zona_02,BT,6,2023-01-27,RETIRADO
9714413,180,Av. García 414,Miraflores,MIRAFLORES_001,Zona_02,BT,2,2024-08-04,ACTIVO
3002830,180,Psje. Lopez 974,Miraflores,MIRAFLORES_001,Zona_08,BT,8,2022-03-16,SUSPENDIDO
9974715,181,Calle Pérez 996,Rímac,RIMAC_001,Zona_03,BT,3,2025-09-04,SUSPENDIDO
3029260,181,Calle Quispe 436,Rímac,RIMAC_001,Zona_06,BT,1,2025-07-19,ACTIVO
6532947,182,Jr. Díaz 528,Breña,BRENA_001,Zona_10,BT,4,2024-09-01,ACTIVO
5813361,182,Av. Díaz 322,Breña,BRENA_001,Zona_03,BT,2,2025-02-26,ACTIVO
6174297,183,Psje. Díaz 465,La Victoria,LAVICTORIA_001,Zona_04,BT,4,2022-11-26,ACTIVO
8373717,184,Av. Pérez 512,San Juan de Miraflores,SANJUANDEMIRAFLORES_001,Zona_01,BT,6,2025-05-17,ACTIVO
4942260,185,Jr. Castro 793,La Molina,LAMOLINA_001,Zona_04,BT,6,2024-12-13,ACTIVO
1089770,186,Jr. García 503,Lurigancho-Chosica,LURIGANCHO_001,Zona_01,BT,5,2023-10-06,ACTIVO
2569827,187,Psje. Torres 606,Pucusana,PUCUSANA_001,Zona_07,BT,4,2025-04-28,ACTIVO
2899940,188,Psje. Torres 203,Los Olivos,LOSOLIVOS_001,Zona_02,BT,6,2021-10-17,ACTIVO
2693260,189,Av. Quispe 195,San Juan de Miraflores,SANJUANDEMIRAFLORES_001,Zona_03,MT,6,2023-12-10,ACTIVO
