id_cliente,tipo_documento,nro_documento,nombre_cliente,tipo_cliente,fecha_alta,estado_cliente,email,telefono
49,DNI,********,Lucía Chávez Ramírez,RESIDENCIAL,2024-02-26,ACTIVO,cli00049@outlook.com,********
50,DNI,********,Carlos Rojas Sánchez,RESIDENCIAL,2022-07-11,ACTIVO,,********
51,DNI,********,Luis García Lopez,RESIDENCIAL,2022-11-28,ACTIVO,cli00051@outlook.com,********
52,DNI,********,Jorge Huamán Castro,RESIDENCIAL,2020-11-22,ACTIVO,,********
53,DNI,********,Carlos Castro Romero,RESIDENCIAL,2021-09-15,ACTIVO,cli00053@outlook.com,********
54,DNI,********,Patricia Flores Huamán,RESIDENCIAL,2023-06-13,ACTIVO,,********
55,CE,********,Miguel Lopez Torres,RESIDENCIAL,2019-12-18,ACTIVO,,********
56,DNI,********,Lucía Salazar Romero,RESIDENCIAL,2018-01-25,ACTIVO,cli00056@outlook.com,********
57,DNI,********,Flor García Flores,RESIDENCIAL,2025-03-29,ACTIVO,cli00057@hotmail.com,********
58,DNI,********,Alberto Pérez Rojas,RESIDENCIAL,2019-11-28,ACTIVO,cli00058@gmail.com,********
59,RUC,72690791039,Comercial Herrera S.A.,COMERCIAL,2023-03-28,ACTIVO,cli00059@gmail.com,********
60,DNI,********,Alberto Castro Chávez,RESIDENCIAL,2021-03-29,ACTIVO,cli00060@gmail.com,********
61,DNI,********,Juan Gonzales Lopez,RESIDENCIAL,2023-08-22,ACTIVO,cli00061@gmail.com,********
62,DNI,********,Miguel Lopez Lopez,RESIDENCIAL,2019-11-21,ACTIVO,,********
63,DNI,********,Sofía Flores Vargas,RESIDENCIAL,2021-08-22,ACTIVO,cli00063@outlook.com,********
64,DNI,********,Ricardo Torres Huamán,RESIDENCIAL,2021-04-12,ACTIVO,cli00064@gmail.com,********
65,DNI,********,Patricia Sánchez Salazar,RESIDENCIAL,2019-03-08,ACTIVO,cli00065@outlook.com,********
66,DNI,********,Miguel Ramírez Díaz,RESIDENCIAL,2022-10-21,ACTIVO,cli00066@hotmail.com,********
67,DNI,********,Ricardo Sánchez Rodríguez,RESIDENCIAL,2018-07-21,ACTIVO,cli00067@gmail.com,********
68,DNI,********,Miguel Díaz Romero,RESIDENCIAL,2024-05-19,ACTIVO,,********
69,DNI,********,María Lopez Ramírez,RESIDENCIAL,2020-05-31,ACTIVO,,********
70,DNI,********,José Lopez Rodríguez,RESIDENCIAL,2024-02-09,MOROSO,cli00070@gmail.com,********
71,DNI,********,Juan Rodríguez Díaz,RESIDENCIAL,2020-11-24,ACTIVO,cli00071@outlook.com,********
72,RUC,82548120347,Comercial Salazar S.A.C.,COMERCIAL,2019-11-02,ACTIVO,cli00072@outlook.com,********
73,DNI,********,Luis Mendoza Vargas,RESIDENCIAL,2019-11-20,ACTIVO,,********
74,DNI,********,Luis Vargas Huamán,RESIDENCIAL,2018-06-17,ACTIVO,cli00074@hotmail.com,********
75,DNI,********,Sofía Flores Huamán,RESIDENCIAL,2021-12-02,ACTIVO,,********
76,DNI,********,Carlos Quispe Quispe,RESIDENCIAL,2021-05-23,ACTIVO,cli00076@gmail.com,********
77,DNI,********,Jorge Pérez Díaz,RESIDENCIAL,2023-06-20,ACTIVO,,********
78,DNI,********,Diego Quispe Vargas,RESIDENCIAL,2023-01-20,ACTIVO,,********
79,DNI,********,Jorge Sánchez Lopez,RESIDENCIAL,2024-11-08,ACTIVO,cli00079@gmail.com,********
80,DNI,********,Carlos Mendoza Pérez,RESIDENCIAL,2018-09-17,ACTIVO,cli00080@outlook.com,********
81,DNI,********,Gabriela Mendoza Quispe,RESIDENCIAL,2023-05-05,INACTIVO,cli00081@hotmail.com,********
82,CE,********,Miguel Salazar Torres,RESIDENCIAL,2022-05-04,INACTIVO,cli00082@hotmail.com,********
83,DNI,********,María Rojas Herrera,RESIDENCIAL,2024-02-24,ACTIVO,cli00083@outlook.com,********
84,DNI,********,Patricia Chávez Vargas,RESIDENCIAL,2025-08-23,ACTIVO,cli00084@gmail.com,********
85,RUC,45510113559,Industria Rojas S.A.C.,INDUSTRIAL,2024-05-15,ACTIVO,,********
86,DNI,********,Alberto Vargas Rodríguez,RESIDENCIAL,2019-09-19,ACTIVO,cli00086@hotmail.com,********
87,DNI,********,Lucía Romero García,RESIDENCIAL,2024-12-05,ACTIVO,cli00087@hotmail.com,********
88,CE,********,Flor Romero Lopez,RESIDENCIAL,2021-08-27,ACTIVO,cli00088@gmail.com,********
89,DNI,********,Pedro Gonzales Huamán,RESIDENCIAL,2018-03-11,ACTIVO,cli00089@outlook.com,********
90,DNI,********,Jorge Rojas Ramírez,RESIDENCIAL,2025-02-17,ACTIVO,cli00090@gmail.com,********
91,DNI,********,Rosa Torres Díaz,RESIDENCIAL,2022-04-21,ACTIVO,cli00091@gmail.com,********
92,RUC,56009712038,Alumbrado Público Cieneguilla,ALUMBRADO_PUBLICO,2022-12-10,ACTIVO,cli00092@outlook.com,********
93,DNI,********,Gabriela Vargas García,RESIDENCIAL,2022-08-04,ACTIVO,,********
94,DNI,********,Jorge García Salazar,RESIDENCIAL,2025-03-10,ACTIVO,cli00094@gmail.com,********
95,DNI,********,Jorge Castro Torres,RESIDENCIAL,2019-09-19,ACTIVO,cli00095@hotmail.com,********
96,DNI,********,Alberto Salazar Vargas,RESIDENCIAL,2018-04-25,ACTIVO,cli00096@hotmail.com,********
97,DNI,********,Carmen Herrera Díaz,RESIDENCIAL,2025-10-08,ACTIVO,cli00097@hotmail.com,********
98,DNI,********,Alberto Salazar Salazar,RESIDENCIAL,2021-07-12,MOROSO,,********
99,DNI,********,Patricia Sánchez Herrera,RESIDENCIAL,2025-04-05,ACTIVO,cli00099@outlook.com,********
100,DNI,********,Ricardo Salazar Díaz,RESIDENCIAL,2025-08-31,ACTIVO,cli00100@hotmail.com,********
101,CE,********,Miguel García Gonzales,RESIDENCIAL,2021-05-10,MOROSO,,********
102,DNI,********,Ana Pérez Chávez,RESIDENCIAL,2021-09-03,ACTIVO,cli00102@gmail.com,********
103,CE,********,Elena Flores Quispe,RESIDENCIAL,2023-03-21,ACTIVO,cli00103@hotmail.com,********
104,DNI,********,Sofía García Quispe,RESIDENCIAL,2023-06-29,ACTIVO,,********
105,DNI,********,Sofía Flores Vargas,RESIDENCIAL,2021-01-10,ACTIVO,cli00105@hotmail.com,********
106,DNI,********,Patricia Sánchez Mendoza,RESIDENCIAL,2018-01-18,ACTIVO,,********
107,RUC,73834037410,Comercial García E.I.R.L.,COMERCIAL,2019-12-02,ACTIVO,cli00107@gmail.com,********
108,DNI,********,Ricardo Mendoza Castro,RESIDENCIAL,2020-09-13,ACTIVO,,********
109,RUC,47763533995,Comercial Salazar S.A.C.,COMERCIAL,2018-11-13,ACTIVO,cli00109@gmail.com,********
110,DNI,********,Miguel Romero Sánchez,RESIDENCIAL,2024-02-22,ACTIVO,cli00110@gmail.com,********
111,DNI,********,Luis Díaz Castro,RESIDENCIAL,2024-05-29,ACTIVO,cli00111@gmail.com,********
112,DNI,********,Lucía Chávez Rojas,RESIDENCIAL,2022-04-29,INACTIVO,,********
113,DNI,********,Flor García Mendoza,RESIDENCIAL,2018-12-13,ACTIVO,cli00113@gmail.com,********
114,DNI,********,Juan Quispe Gonzales,RESIDENCIAL,2019-09-08,ACTIVO,cli00114@gmail.com,********
115,DNI,********,José García Díaz,RESIDENCIAL,2025-01-06,ACTIVO,,********
116,CE,********,Ricardo Gonzales Lopez,RESIDENCIAL,2024-09-24,ACTIVO,cli00116@outlook.com,********
117,DNI,********,José Castro Quispe,RESIDENCIAL,2019-02-11,ACTIVO,cli00117@outlook.com,********
118,DNI,********,Alberto Sánchez Castro,RESIDENCIAL,2024-02-21,ACTIVO,cli00118@gmail.com,********
119,DNI,********,Ricardo Ramírez Torres,RESIDENCIAL,2018-11-09,ACTIVO,,********
120,RUC,99939525658,Servicios Herrera S.A.,OTROS,2018-12-16,ACTIVO,cli00120@hotmail.com,********
121,RUC,12340729875,Comercial Huamán S.A.,COMERCIAL,2022-06-01,ACTIVO,,********
122,DNI,********,Pedro Rodríguez Lopez,RESIDENCIAL,2020-06-22,ACTIVO,cli00122@outlook.com,********
123,DNI,********,Luis Romero Chávez,RESIDENCIAL,2024-11-19,ACTIVO,,********
124,DNI,********,Alberto Torres García,RESIDENCIAL,2019-05-08,ACTIVO,cli00124@hotmail.com,********
125,RUC,13872377051,Comercial Salazar E.I.R.L.,COMERCIAL,2023-05-25,ACTIVO,cli00125@gmail.com,********
126,RUC,84685365914,Servicios Chávez S.A.,OTROS,2022-10-19,ACTIVO,cli00126@outlook.com,********
127,DNI,********,Patricia Flores Quispe,RESIDENCIAL,2018-03-13,ACTIVO,,********
128,DNI,********,Carlos Rodríguez Rodríguez,RESIDENCIAL,2020-07-20,ACTIVO,cli00128@gmail.com,********
129,DNI,********,Carmen García Sánchez,RESIDENCIAL,2018-11-15,ACTIVO,,********
130,DNI,********,José Ramírez Romero,RESIDENCIAL,2024-09-26,ACTIVO,cli00130@hotmail.com,********
131,DNI,********,Juan Pérez Chávez,RESIDENCIAL,2023-03-04,ACTIVO,,********
132,DNI,********,Miguel Huamán Pérez,RESIDENCIAL,2018-08-06,ACTIVO,cli00132@gmail.com,********
133,DNI,********,María Sánchez Chávez,RESIDENCIAL,2018-04-18,ACTIVO,cli00133@hotmail.com,********
134,RUC,54023396127,Comercial Castro S.A.C.,COMERCIAL,2023-01-25,ACTIVO,cli00134@gmail.com,********
135,RUC,34928550099,Servicios Castro S.A.C.,OTROS,2024-05-14,ACTIVO,,********
136,DNI,********,Rosa Vargas Rodríguez,RESIDENCIAL,2022-05-24,ACTIVO,cli00136@gmail.com,********
137,DNI,********,Ricardo Pérez Rojas,RESIDENCIAL,2019-10-03,ACTIVO,cli00137@gmail.com,********
138,DNI,********,Carlos Herrera Sánchez,RESIDENCIAL,2025-01-14,ACTIVO,cli00138@outlook.com,********
139,DNI,********,Flor Sánchez Lopez,RESIDENCIAL,2020-12-25,ACTIVO,,********
140,DNI,********,Flor Romero Huamán,RESIDENCIAL,2019-05-23,ACTIVO,cli00140@hotmail.com,********
141,DNI,********,José Romero Ramírez,RESIDENCIAL,2023-02-01,MOROSO,cli00141@hotmail.com,********
142,DNI,********,Elena García Castro,RESIDENCIAL,2018-07-11,ACTIVO,cli00142@outlook.com,********
143,RUC,76540586566,Ministerio del Interior,GOBIERNO,2018-09-24,ACTIVO,,********
144,DNI,********,Ana Flores Torres,RESIDENCIAL,2019-01-28,ACTIVO,cli00144@hotmail.com,********
145,DNI,********,Alberto Rojas Huamán,RESIDENCIAL,2018-05-10,INACTIVO,cli00145@gmail.com,********
146,DNI,********,Gabriela Pérez Herrera,RESIDENCIAL,2020-10-11,ACTIVO,cli00146@gmail.com,********
147,DNI,********,Ricardo Rojas Castro,RESIDENCIAL,2024-04-26,ACTIVO,cli00147@outlook.com,********
148,DNI,********,Patricia Rodríguez Romero,RESIDENCIAL,2021-09-20,ACTIVO,cli00148@hotmail.com,********
149,CE,********,María Torres Lopez,RESIDENCIAL,2025-08-01,ACTIVO,cli00149@hotmail.com,********
150,DNI,********,Ana Salazar Vargas,RESIDENCIAL,2022-06-15,ACTIVO,cli00150@hotmail.com,********
151,DNI,********,Luis Rodríguez Romero,RESIDENCIAL,2019-01-11,ACTIVO,,********
152,DNI,********,Lucía Chávez Flores,RESIDENCIAL,2023-11-12,ACTIVO,,********
153,DNI,********,Elena Flores Pérez,RESIDENCIAL,2018-08-23,MOROSO,cli00153@hotmail.com,********
154,CE,********,Lucía Ramírez Vargas,RESIDENCIAL,2018-03-13,ACTIVO,cli00154@outlook.com,********
155,CE,********,María Torres Flores,RESIDENCIAL,2023-09-29,MOROSO,cli00155@hotmail.com,********
156,DNI,********,Carmen Herrera Chávez,RESIDENCIAL,2024-12-12,ACTIVO,cli00156@gmail.com,********
157,DNI,********,José Romero García,RESIDENCIAL,2023-09-12,ACTIVO,cli00157@gmail.com,********
158,RUC,67497397865,Comercial García S.A.C.,COMERCIAL,2025-05-21,ACTIVO,cli00158@gmail.com,********
159,DNI,********,Ana Herrera Ramírez,RESIDENCIAL,2020-08-16,ACTIVO,cli00159@outlook.com,********
160,DNI,********,Carlos García Rojas,RESIDENCIAL,2022-01-11,MOROSO,cli00160@gmail.com,********
161,DNI,********,Alberto Rodríguez Sánchez,RESIDENCIAL,2019-04-11,ACTIVO,cli00161@outlook.com,********
162,DNI,********,Carmen Chávez Vargas,RESIDENCIAL,2022-12-30,ACTIVO,cli00162@outlook.com,********
163,DNI,********,Carlos Ramírez Pérez,RESIDENCIAL,2018-09-25,ACTIVO,cli00163@hotmail.com,********
164,DNI,********,Rosa Vargas Romero,RESIDENCIAL,2022-08-25,ACTIVO,cli00164@hotmail.com,********
165,DNI,********,Patricia Sánchez García,RESIDENCIAL,2020-12-17,ACTIVO,cli00165@hotmail.com,********
166,DNI,********,María Huamán Ramírez,RESIDENCIAL,2023-11-13,ACTIVO,cli00166@hotmail.com,********
167,DNI,********,Ana Sánchez Castro,RESIDENCIAL,2018-05-06,ACTIVO,cli00167@hotmail.com,********
168,RUC,10289820928,Ministerio de Justicia,GOBIERNO,2020-10-12,ACTIVO,cli00168@hotmail.com,********
169,DNI,********,Juan Mendoza Huamán,RESIDENCIAL,2020-04-13,ACTIVO,cli00169@gmail.com,********
170,DNI,********,Pedro Chávez Huamán,RESIDENCIAL,2024-06-18,ACTIVO,cli00170@hotmail.com,********
171,DNI,********,Patricia Rojas Flores,RESIDENCIAL,2022-09-12,ACTIVO,cli00171@outlook.com,********
172,DNI,********,Flor García Mendoza,RESIDENCIAL,2025-06-23,ACTIVO,cli00172@hotmail.com,********
173,RUC,11899405487,Comercial Castro E.I.R.L.,COMERCIAL,2018-01-02,ACTIVO,cli00173@hotmail.com,********
174,DNI,********,Miguel Pérez Rojas,RESIDENCIAL,2018-12-15,ACTIVO,cli00174@hotmail.com,********
175,RUC,83855427551,Industria Lopez S.A.C.,INDUSTRIAL,2021-11-26,ACTIVO,cli00175@hotmail.com,********
176,DNI,********,Rosa Ramírez Romero,RESIDENCIAL,2025-01-28,ACTIVO,cli00176@gmail.com,********
177,DNI,********,Lucía Mendoza Vargas,RESIDENCIAL,2025-09-10,ACTIVO,,********
178,DNI,********,Alberto Torres Mendoza,RESIDENCIAL,2018-02-08,ACTIVO,cli00178@gmail.com,********
179,CE,********,Sofía Rodríguez Romero,RESIDENCIAL,2022-08-21,ACTIVO,,********
180,DNI,********,Luis Rodríguez Rodríguez,RESIDENCIAL,2020-12-05,ACTIVO,cli00180@outlook.com,********
181,DNI,********,Patricia Chávez Quispe,RESIDENCIAL,2025-07-10,ACTIVO,cli00181@outlook.com,********
182,DNI,********,Rosa Huamán Huamán,RESIDENCIAL,2023-07-03,ACTIVO,cli00182@gmail.com,********
183,DNI,********,Lucía Romero Pérez,RESIDENCIAL,2022-10-11,ACTIVO,,********
184,CE,********,Pedro Pérez Gonzales,RESIDENCIAL,2023-12-23,ACTIVO,,********
185,DNI,********,José Rojas Gonzales,RESIDENCIAL,2020-09-17,ACTIVO,cli00185@outlook.com,********
186,DNI,********,Ana Flores Mendoza,RESIDENCIAL,2023-04-04,MOROSO,cli00186@gmail.com,********
187,DNI,********,Ana Díaz Torres,RESIDENCIAL,2023-07-10,ACTIVO,,********
188,DNI,********,Luis Rojas García,RESIDENCIAL,2021-05-15,ACTIVO,cli00188@gmail.com,********
189,RUC,95501114446,OSINERGMIN,GOBIERNO,2023-03-19,INACTIVO,,********
190,DNI,********,Carlos Díaz Chávez,RESIDENCIAL,2023-09-13,ACTIVO,,********
191,DNI,********,Luis Mendoza Díaz,RESIDENCIAL,2021-02-05,ACTIVO,,********
192,DNI,********,Ricardo Huamán Torres,RESIDENCIAL,2023-07-27,ACTIVO,,********
193,DNI,********,Sofía Torres Vargas,RESIDENCIAL,2025-02-06,ACTIVO,,********
194,DNI,********,Rosa Castro Herrera,RESIDENCIAL,2025-06-08,ACTIVO,,********
195,CE,********,Carmen Pérez Ramírez,RESIDENCIAL,2022-03-13,ACTIVO,,********
196,DNI,********,Ana Mendoza Torres,RESIDENCIAL,2021-12-08,ACTIVO,,********
197,DNI,********,Alberto Romero Rojas,RESIDENCIAL,2020-07-25,ACTIVO,cli00197@gmail.com,********
198,DNI,********,Lucía Flores Romero,RESIDENCIAL,2023-01-31,ACTIVO,cli00198@gmail.com,********
199,DNI,********,Juan Chávez Rodríguez,RESIDENCIAL,2018-08-01,ACTIVO,cli00199@gmail.com,********
200,DNI,********,Carmen Pérez Chávez,RESIDENCIAL,2024-08-30,ACTIVO,cli00200@outlook.com,********
201,DNI,********,Carlos Ramírez Gonzales,RESIDENCIAL,2024-06-03,ACTIVO,cli00201@hotmail.com,********
202,DNI,********,Sofía Díaz Chávez,RESIDENCIAL,2021-10-30,ACTIVO,,********
203,DNI,********,Lucía Romero Castro,RESIDENCIAL,2021-02-04,ACTIVO,cli00203@outlook.com,********
204,RUC,62973808756,Alumbrado Público Chorrillos,ALUMBRADO_PUBLICO,2023-10-05,ACTIVO,cli00204@hotmail.com,********
205,DNI,********,Juan Torres Salazar,RESIDENCIAL,2024-11-12,ACTIVO,cli00205@hotmail.com,********
206,DNI,********,Jorge Díaz Salazar,RESIDENCIAL,2020-11-30,ACTIVO,cli00206@gmail.com,********
207,DNI,********,María Huamán Rodríguez,RESIDENCIAL,2022-01-24,ACTIVO,cli00207@outlook.com,********
208,DNI,********,Rosa Castro Mendoza,RESIDENCIAL,2020-01-12,ACTIVO,cli00208@hotmail.com,********
209,DNI,********,Sofía Vargas Pérez,RESIDENCIAL,2020-08-10,ACTIVO,cli00209@gmail.com,********
210,DNI,********,Carlos Castro Castro,RESIDENCIAL,2019-09-13,MOROSO,cli00210@gmail.com,********
211,DNI,********,José Chávez Rodríguez,RESIDENCIAL,2023-08-24,ACTIVO,cli00211@hotmail.com,********
212,DNI,********,Elena García Chávez,RESIDENCIAL,2025-09-26,ACTIVO,,********
213,DNI,********,Luis Flores Gonzales,RESIDENCIAL,2025-02-11,ACTIVO,cli00213@hotmail.com,********
214,DNI,********,María Huamán Sánchez,RESIDENCIAL,2021-05-31,ACTIVO,cli00214@outlook.com,********
215,DNI,********,Luis Herrera Salazar,RESIDENCIAL,2019-05-15,ACTIVO,cli00215@gmail.com,********
216,DNI,********,José Romero Salazar,RESIDENCIAL,2023-08-01,ACTIVO,,********
217,DNI,********,Flor Huamán Rojas,RESIDENCIAL,2021-07-05,ACTIVO,cli00217@outlook.com,********
218,DNI,********,Luis Rodríguez Ramírez,RESIDENCIAL,2025-06-29,INACTIVO,cli00218@hotmail.com,********
219,DNI,********,Alberto García Huamán,RESIDENCIAL,2024-12-21,ACTIVO,cli00219@gmail.com,********
220,DNI,********,Rosa Pérez Rodríguez,RESIDENCIAL,2021-01-03,MOROSO,cli00220@hotmail.com,********
221,DNI,********,María Flores Lopez,RESIDENCIAL,2019-07-03,ACTIVO,cli00221@hotmail.com,********
222,RUC,89128383638,Servicios Torres S.A.,OTROS,2024-03-21,MOROSO,cli00222@gmail.com,********
223,DNI,********,María Chávez Quispe,RESIDENCIAL,2025-03-28,ACTIVO,cli00223@gmail.com,********
224,RUC,55798704761,Industria Mendoza E.I.R.L.,INDUSTRIAL,2019-01-31,ACTIVO,cli00224@outlook.com,********
225,RUC,87199140887,Industria Vargas S.A.,INDUSTRIAL,2024-09-03,ACTIVO,cli00225@outlook.com,********
226,DNI,********,Lucía Romero Chávez,RESIDENCIAL,2023-11-28,ACTIVO,cli00226@outlook.com,********
227,DNI,********,Ana Ramírez García,RESIDENCIAL,2021-10-29,ACTIVO,cli00227@outlook.com,********
228,DNI,********,José Flores Flores,RESIDENCIAL,2018-09-12,ACTIVO,cli00228@hotmail.com,********
229,DNI,********,Diego Castro Rojas,RESIDENCIAL,2024-03-27,ACTIVO,,********
230,DNI,********,Ricardo Chávez Díaz,RESIDENCIAL,2021-05-07,INACTIVO,cli00230@outlook.com,********
231,DNI,********,Rosa Chávez Gonzales,RESIDENCIAL,2022-08-23,ACTIVO,,********
232,DNI,********,Sofía Lopez Huamán,RESIDENCIAL,2019-04-26,ACTIVO,cli00232@gmail.com,********
233,DNI,********,Luis Pérez Salazar,RESIDENCIAL,2018-10-11,MOROSO,cli00233@hotmail.com,********
234,DNI,********,Gabriela Flores Lopez,RESIDENCIAL,2024-02-09,MOROSO,cli00234@outlook.com,********
235,RUC,37574339786,Comercial Mendoza S.A.,COMERCIAL,2021-03-01,ACTIVO,cli00235@gmail.com,********
236,DNI,********,Gabriela Torres Herrera,RESIDENCIAL,2020-08-03,ACTIVO,cli00236@outlook.com,********
237,DNI,********,Carmen Huamán Quispe,RESIDENCIAL,2024-09-09,ACTIVO,cli00237@gmail.com,********
238,RUC,93138517784,Servicios Pérez E.I.R.L.,OTROS,2024-11-12,ACTIVO,cli00238@hotmail.com,********
239,DNI,********,Rosa Herrera Rojas,RESIDENCIAL,2025-04-21,ACTIVO,cli00239@outlook.com,********
240,DNI,********,Rosa Huamán Salazar,RESIDENCIAL,2022-05-16,ACTIVO,cli00240@hotmail.com,********
241,DNI,********,Diego Vargas Rodríguez,RESIDENCIAL,2024-11-02,ACTIVO,cli00241@hotmail.com,********
242,DNI,********,Lucía García Rojas,RESIDENCIAL,2023-01-02,ACTIVO,cli00242@gmail.com,********
243,RUC,56863050086,Servicios García S.A.,OTROS,2023-01-28,MOROSO,,********
244,DNI,********,Ana Quispe Rojas,RESIDENCIAL,2024-08-08,ACTIVO,cli00244@gmail.com,********
245,DNI,********,Flor Gonzales Torres,RESIDENCIAL,2018-01-30,ACTIVO,cli00245@outlook.com,********
246,DNI,********,Gabriela Ramírez Sánchez,RESIDENCIAL,2019-07-26,ACTIVO,cli00246@hotmail.com,********
247,RUC,46890698270,Municipalidad de Punta Negra,MUNICIPALIDAD,2021-09-22,ACTIVO,cli00247@gmail.com,********
248,DNI,********,Jorge Flores Lopez,RESIDENCIAL,2022-06-25,ACTIVO,,********
249,DNI,********,Ana Quispe Lopez,RESIDENCIAL,2025-02-05,ACTIVO,cli00249@hotmail.com,********
250,DNI,********,Carmen Lopez Quispe,RESIDENCIAL,2018-10-15,ACTIVO,cli00250@gmail.com,********
251,DNI,********,Miguel Vargas Mendoza,RESIDENCIAL,2020-11-15,ACTIVO,cli00251@hotmail.com,********
