id_cliente,tipo_cliente,DNI,Celular,Email,id_ubicacion,fecha_alta,estado_cliente
52,Residencial,64XXXX15,927XXX299,cliente00052***@correo.com,29,2024-07-12,ACTIVO
53,Residencial,71XXXX52,945XXX378,cliente00053***@correo.com,7,2024-07-01,ACTIVO
54,Residencial,70XXXX37,970XXX299,cliente00054***@correo.com,15,2021-02-26,ACTIVO
55,Residencial,67XXXX54,916XXX646,cliente00055***@correo.com,29,2018-07-24,ACTIVO
56,Residencial,18XXXX71,909XXX254,cliente00056***@correo.com,7,2020-02-18,ACTIVO
57,Residencial,16XXXX73,987XXX289,cliente00057***@correo.com,4,2019-11-20,ACTIVO
58,Residencial,65XXXX56,998XXX188,cliente00058***@correo.com,21,2018-05-09,ACTIVO
59,Residencial,48XXXX71,959XXX559,cliente00059***@correo.com,12,2023-07-28,ACTIVO
60,Residencial,86XXXX90,956XXX954,cliente00060***@correo.com,7,2024-01-21,ACTIVO
61,Residencial,59XXXX94,925XXX822,cliente00061***@correo.com,43,2022-05-15,ACTIVO
62,Residencial,34XXXX43,902XXX077,cliente00062***@correo.com,29,2023-12-05,ACTIVO
63,Residencial,94XXXX64,983XXX929,cliente00063***@correo.com,34,2023-02-03,ACTIVO
64,Residencial,16XXXX82,963XXX134,cliente00064***@correo.com,43,2023-12-26,ACTIVO
65,Industrial,29XXXX79,950XXX817,cliente00065***@correo.com,9,2020-02-11,ACTIVO
66,Residencial,44XXXX05,965XXX967,cliente00066***@correo.com,1,2024-05-12,ACTIVO
67,Residencial,10XXXX04,931XXX252,cliente00067***@correo.com,37,2022-09-03,ACTIVO
68,Gobierno,31XXXX83,940XXX789,cliente00068***@correo.com,13,2019-11-10,ACTIVO
69,Residencial,14XXXX12,935XXX993,cliente00069***@correo.com,43,2024-07-19,ACTIVO
70,Residencial,90XXXX62,940XXX292,cliente00070***@correo.com,17,2020-08-05,ACTIVO
71,Residencial,41XXXX04,936XXX932,cliente00071***@correo.com,35,2020-01-27,ACTIVO
72,Residencial,89XXXX79,936XXX860,cliente00072***@correo.com,28,2018-06-13,ACTIVO
73,Residencial,50XXXX79,903XXX756,cliente00073***@correo.com,9,2023-08-17,ACTIVO
74,Comercial,45XXXX29,935XXX989,cliente00074***@correo.com,29,2021-08-24,ACTIVO
75,Residencial,88XXXX44,941XXX661,cliente00075***@correo.com,40,2019-04-09,ACTIVO
76,Comercial,44XXXX15,984XXX248,cliente00076***@correo.com,31,2022-05-07,ACTIVO
77,Residencial,56XXXX29,911XXX449,cliente00077***@correo.com,7,2020-01-14,ACTIVO
78,Alumbrado Público,41XXXX18,907XXX369,cliente00078***@correo.com,28,2024-04-15,ACTIVO
79,Residencial,45XXXX88,933XXX475,cliente00079***@correo.com,42,2023-06-08,ACTIVO
80,Residencial,53XXXX55,952XXX677,cliente00080***@correo.com,9,2021-06-08,ACTIVO
81,Residencial,20XXXX73,916XXX282,cliente00081***@correo.com,29,2019-08-16,ACTIVO
82,Residencial,15XXXX78,973XXX497,cliente00082***@correo.com,26,2020-07-03,ACTIVO
83,Residencial,33XXXX13,908XXX942,cliente00083***@correo.com,3,2024-06-27,ACTIVO
84,Residencial,21XXXX71,959XXX213,cliente00084***@correo.com,29,2018-10-14,ACTIVO
85,Comercial,47XXXX61,987XXX993,cliente00085***@correo.com,9,2020-11-22,ACTIVO
86,Residencial,62XXXX19,948XXX942,cliente00086***@correo.com,26,2022-04-19,ACTIVO
87,Residencial,27XXXX71,904XXX099,cliente00087***@correo.com,15,2020-12-30,ACTIVO
88,Residencial,91XXXX62,903XXX354,cliente00088***@correo.com,5,2023-11-12,ACTIVO
89,Residencial,85XXXX72,905XXX296,cliente00089***@correo.com,43,2024-07-16,ACTIVO
90,Residencial,68XXXX31,941XXX689,cliente00090***@correo.com,3,2021-08-09,ACTIVO
91,Residencial,22XXXX58,978XXX700,cliente00091***@correo.com,21,2023-02-07,ACTIVO
92,Comercial,44XXXX40,917XXX695,cliente00092***@correo.com,15,2023-09-13,ACTIVO
93,Residencial,86XXXX79,986XXX919,cliente00093***@correo.com,14,2023-01-07,ACTIVO
94,Residencial,11XXXX40,961XXX932,cliente00094***@correo.com,11,2019-09-03,ACTIVO
95,Residencial,13XXXX12,940XXX907,cliente00095***@correo.com,12,2021-03-29,ACTIVO
96,Residencial,73XXXX98,932XXX631,cliente00096***@correo.com,7,2022-02-01,ACTIVO
97,Residencial,11XXXX83,946XXX855,cliente00097***@correo.com,1,2023-05-22,ACTIVO
98,Residencial,53XXXX95,947XXX994,cliente00098***@correo.com,28,2023-11-27,ACTIVO
99,Residencial,98XXXX77,907XXX979,cliente00099***@correo.com,38,2023-12-21,ACTIVO
100,Residencial,45XXXX29,989XXX581,cliente00100***@correo.com,15,2021-07-18,ACTIVO
101,Residencial,67XXXX62,954XXX796,cliente00101***@correo.com,7,2019-01-12,ACTIVO
102,Residencial,39XXXX22,962XXX576,cliente00102***@correo.com,15,2021-03-21,INACTIVO
103,Residencial,89XXXX38,943XXX254,cliente00103***@correo.com,42,2024-04-21,ACTIVO
104,Comercial,42XXXX79,981XXX253,cliente00104***@correo.com,5,2022-11-30,ACTIVO
105,Residencial,43XXXX96,944XXX472,cliente00105***@correo.com,30,2021-05-01,ACTIVO
106,Residencial,62XXXX36,916XXX346,cliente00106***@correo.com,36,2022-05-28,ACTIVO
107,Residencial,79XXXX14,977XXX791,cliente00107***@correo.com,17,2023-07-29,ACTIVO
108,Residencial,88XXXX80,934XXX260,cliente00108***@correo.com,36,2018-05-09,ACTIVO
109,Residencial,66XXXX66,992XXX034,cliente00109***@correo.com,3,2018-10-24,ACTIVO
110,Residencial,68XXXX57,986XXX851,cliente00110***@correo.com,30,2022-06-12,ACTIVO
111,Residencial,33XXXX30,940XXX377,cliente00111***@correo.com,9,2018-09-03,ACTIVO
112,Residencial,32XXXX72,934XXX693,cliente00112***@correo.com,39,2019-10-21,ACTIVO
113,Residencial,48XXXX92,900XXX253,cliente00113***@correo.com,40,2024-09-27,ACTIVO
114,Residencial,14XXXX67,940XXX290,cliente00114***@correo.com,15,2020-11-18,ACTIVO
115,Residencial,90XXXX95,925XXX505,cliente00115***@correo.com,6,2020-03-28,ACTIVO
116,Residencial,49XXXX65,950XXX529,cliente00116***@correo.com,29,2022-12-31,ACTIVO
117,Residencial,37XXXX96,966XXX975,cliente00117***@correo.com,7,2019-05-04,ACTIVO
118,Residencial,97XXXX60,936XXX205,cliente00118***@correo.com,29,2023-10-08,ACTIVO
119,Comercial,45XXXX73,982XXX411,cliente00119***@correo.com,28,2020-10-29,ACTIVO
120,Residencial,65XXXX56,921XXX514,cliente00120***@correo.com,9,2021-05-21,ACTIVO
121,Residencial,34XXXX10,926XXX969,cliente00121***@correo.com,39,2018-08-07,ACTIVO
122,Residencial,14XXXX66,979XXX539,cliente00122***@correo.com,5,2020-08-28,ACTIVO
123,Gobierno,86XXXX57,981XXX195,cliente00123***@correo.com,26,2020-09-13,ACTIVO
124,Residencial,31XXXX42,959XXX617,cliente00124***@correo.com,38,2022-03-04,ACTIVO
125,Residencial,86XXXX06,949XXX357,cliente00125***@correo.com,33,2023-10-23,SUSPENDIDO
126,Residencial,87XXXX84,983XXX678,cliente00126***@correo.com,40,2020-02-03,ACTIVO
127,Residencial,39XXXX40,938XXX139,cliente00127***@correo.com,39,2022-06-27,ACTIVO
128,Residencial,25XXXX34,974XXX547,cliente00128***@correo.com,38,2018-03-16,ACTIVO
129,Residencial,12XXXX77,932XXX786,cliente00129***@correo.com,7,2018-09-01,ACTIVO
130,Residencial,45XXXX33,994XXX193,cliente00130***@correo.com,31,2021-05-13,ACTIVO
131,Residencial,16XXXX77,981XXX521,cliente00131***@correo.com,5,2022-09-12,ACTIVO
132,Residencial,63XXXX81,943XXX910,cliente00132***@correo.com,26,2020-12-24,ACTIVO
133,Residencial,40XXXX97,976XXX837,cliente00133***@correo.com,38,2023-08-05,ACTIVO
134,Residencial,34XXXX60,934XXX437,cliente00134***@correo.com,43,2020-11-17,SUSPENDIDO
135,Residencial,44XXXX79,936XXX646,cliente00135***@correo.com,31,2019-09-08,ACTIVO
136,Residencial,64XXXX25,936XXX865,cliente00136***@correo.com,32,2022-12-06,ACTIVO
137,Comercial,81XXXX01,974XXX785,cliente00137***@correo.com,21,2021-11-02,ACTIVO
138,Residencial,51XXXX32,988XXX648,cliente00138***@correo.com,3,2023-06-02,ACTIVO
139,Residencial,18XXXX51,900XXX775,cliente00139***@correo.com,13,2021-11-24,ACTIVO
140,Residencial,11XXXX87,979XXX377,cliente00140***@correo.com,13,2023-02-02,ACTIVO
141,Residencial,50XXXX03,954XXX254,cliente00141***@correo.com,5,2024-10-24,ACTIVO
142,Residencial,66XXXX20,981XXX970,cliente00142***@correo.com,43,2018-08-30,ACTIVO
143,Residencial,92XXXX38,982XXX514,cliente00143***@correo.com,19,2021-08-02,ACTIVO
144,Residencial,83XXXX74,980XXX535,cliente00144***@correo.com,4,2024-08-27,ACTIVO
145,Residencial,33XXXX78,955XXX929,cliente00145***@correo.com,36,2023-09-19,ACTIVO
146,Residencial,18XXXX92,988XXX213,cliente00146***@correo.com,3,2023-04-19,ACTIVO
147,Residencial,94XXXX17,982XXX394,cliente00147***@correo.com,9,2024-09-02,ACTIVO
148,Residencial,39XXXX30,975XXX296,cliente00148***@correo.com,37,2024-04-26,ACTIVO
149,Residencial,99XXXX24,939XXX657,cliente00149***@correo.com,24,2024-08-03,ACTIVO
150,Industrial,13XXXX80,923XXX901,cliente00150***@correo.com,15,2021-07-23,ACTIVO
151,Residencial,75XXXX48,941XXX804,cliente00151***@correo.com,13,2021-01-09,ACTIVO
152,Residencial,91XXXX83,935XXX857,cliente00152***@correo.com,4,2018-09-14,ACTIVO
153,Residencial,51XXXX67,987XXX124,cliente00153***@correo.com,4,2024-03-14,ACTIVO
154,Residencial,67XXXX32,934XXX192,cliente00154***@correo.com,4,2021-05-12,ACTIVO
155,Residencial,30XXXX53,969XXX104,cliente00155***@correo.com,7,2020-06-16,ACTIVO
156,Residencial,50XXXX34,931XXX902,cliente00156***@correo.com,28,2023-12-17,ACTIVO
157,Residencial,83XXXX71,933XXX559,cliente00157***@correo.com,33,2018-01-06,ACTIVO
158,Residencial,44XXXX92,947XXX257,cliente00158***@correo.com,43,2020-11-30,ACTIVO
159,Residencial,72XXXX05,992XXX412,cliente00159***@correo.com,22,2023-09-22,ACTIVO
160,Residencial,25XXXX30,943XXX575,cliente00160***@correo.com,9,2019-03-24,ACTIVO
161,Residencial,36XXXX29,918XXX916,cliente00161***@correo.com,38,2022-07-23,ACTIVO
162,Comercial,31XXXX29,904XXX718,cliente00162***@correo.com,15,2022-09-30,ACTIVO
163,Residencial,93XXXX02,961XXX854,cliente00163***@correo.com,15,2023-10-09,ACTIVO
164,Residencial,82XXXX35,950XXX401,cliente00164***@correo.com,15,2020-12-14,ACTIVO
165,Residencial,88XXXX88,950XXX038,cliente00165***@correo.com,15,2021-10-15,ACTIVO
166,Residencial,71XXXX15,954XXX228,cliente00166***@correo.com,13,2024-11-17,ACTIVO
167,Residencial,71XXXX73,979XXX681,cliente00167***@correo.com,29,2021-11-22,ACTIVO
168,Residencial,96XXXX05,992XXX091,cliente00168***@correo.com,6,2018-01-11,ACTIVO
169,Gobierno,22XXXX60,911XXX872,cliente00169***@correo.com,28,2023-01-12,ACTIVO
170,Residencial,92XXXX06,923XXX996,cliente00170***@correo.com,9,2024-11-22,ACTIVO
171,Residencial,76XXXX71,947XXX375,cliente00171***@correo.com,43,2021-04-18,ACTIVO
172,Residencial,33XXXX89,942XXX760,cliente00172***@correo.com,43,2019-07-06,ACTIVO
173,Gobierno,86XXXX10,926XXX943,cliente00173***@correo.com,19,2022-11-05,ACTIVO
174,Residencial,91XXXX80,963XXX024,cliente00174***@correo.com,15,2021-05-19,ACTIVO
175,Residencial,72XXXX59,914XXX576,cliente00175***@correo.com,7,2024-10-31,ACTIVO
176,Residencial,60XXXX86,982XXX949,cliente00176***@correo.com,4,2024-07-08,ACTIVO
177,Residencial,15XXXX43,992XXX281,cliente00177***@correo.com,5,2022-10-29,ACTIVO
178,Residencial,36XXXX14,991XXX262,cliente00178***@correo.com,26,2018-06-17,INACTIVO
179,Residencial,61XXXX72,978XXX094,cliente00179***@correo.com,33,2024-11-18,ACTIVO
180,Comercial,25XXXX93,921XXX318,cliente00180***@correo.com,8,2023-08-10,ACTIVO
181,Residencial,54XXXX19,958XXX702,cliente00181***@correo.com,30,2024-01-12,ACTIVO
182,Residencial,22XXXX39,902XXX691,cliente00182***@correo.com,39,2020-03-04,ACTIVO
183,Residencial,85XXXX56,959XXX922,cliente00183***@correo.com,9,2022-06-22,ACTIVO
184,Residencial,70XXXX42,937XXX960,cliente00184***@correo.com,20,2018-04-04,ACTIVO
185,Comercial,92XXXX39,930XXX370,cliente00185***@correo.com,3,2020-03-21,ACTIVO
186,Residencial,88XXXX32,991XXX533,cliente00186***@correo.com,7,2021-06-08,ACTIVO
187,Residencial,40XXXX81,967XXX788,cliente00187***@correo.com,7,2020-08-29,ACTIVO
188,Residencial,79XXXX39,934XXX170,cliente00188***@correo.com,27,2018-03-12,ACTIVO
189,Residencial,32XXXX91,971XXX642,cliente00189***@correo.com,18,2019-04-06,ACTIVO
190,Residencial,78XXXX00,944XXX038,cliente00190***@correo.com,11,2019-07-11,ACTIVO
191,Residencial,44XXXX91,972XXX039,cliente00191***@correo.com,4,2019-06-18,ACTIVO
192,Comercial,87XXXX59,983XXX113,cliente00192***@correo.com,3,2020-10-20,ACTIVO
193,Residencial,82XXXX79,927XXX266,cliente00193***@correo.com,4,2020-02-17,ACTIVO
194,Residencial,85XXXX71,991XXX111,cliente00194***@correo.com,10,2022-08-11,ACTIVO
195,Residencial,91XXXX07,997XXX686,cliente00195***@correo.com,13,2020-12-21,ACTIVO
196,Residencial,12XXXX96,995XXX409,cliente00196***@correo.com,43,2023-01-28,ACTIVO
197,Residencial,20XXXX18,968XXX015,cliente00197***@correo.com,9,2020-05-15,ACTIVO
198,Comercial,98XXXX06,994XXX265,cliente00198***@correo.com,15,2022-08-01,ACTIVO
199,Residencial,92XXXX06,920XXX669,cliente00199***@correo.com,26,2019-07-17,ACTIVO
200,Residencial,59XXXX69,950XXX797,cliente00200***@correo.com,7,2023-05-09,ACTIVO
201,Residencial,26XXXX28,996XXX596,cliente00201***@correo.com,25,2024-12-10,SUSPENDIDO
202,Residencial,64XXXX07,954XXX387,cliente00202***@correo.com,34,2022-12-05,ACTIVO
203,Residencial,14XXXX65,911XXX239,cliente00203***@correo.com,10,2021-07-23,ACTIVO
204,Residencial,30XXXX70,977XXX990,cliente00204***@correo.com,39,2022-11-27,ACTIVO
205,Comercial,31XXXX66,928XXX058,cliente00205***@correo.com,16,2018-03-02,ACTIVO
206,Residencial,50XXXX54,923XXX803,cliente00206***@correo.com,43,2018-08-06,ACTIVO
207,Comercial,55XXXX40,949XXX441,cliente00207***@correo.com,29,2019-04-20,ACTIVO
208,Residencial,11XXXX02,976XXX620,cliente00208***@correo.com,9,2019-04-23,ACTIVO
209,Residencial,78XXXX88,985XXX623,cliente00209***@correo.com,7,2023-08-01,ACTIVO
210,Residencial,43XXXX48,934XXX157,cliente00210***@correo.com,26,2022-03-21,ACTIVO
211,Residencial,93XXXX90,919XXX278,cliente00211***@correo.com,5,2020-08-25,ACTIVO
212,Comercial,71XXXX24,912XXX789,cliente00212***@correo.com,16,2021-12-09,ACTIVO
213,Residencial,39XXXX35,921XXX887,cliente00213***@correo.com,12,2024-09-19,ACTIVO
214,Residencial,80XXXX03,922XXX480,cliente00214***@correo.com,9,2022-03-04,ACTIVO
215,Residencial,51XXXX16,967XXX926,cliente00215***@correo.com,35,2021-11-01,ACTIVO
216,Residencial,74XXXX15,946XXX616,cliente00216***@correo.com,15,2021-04-21,ACTIVO
217,Residencial,54XXXX53,989XXX408,cliente00217***@correo.com,38,2018-10-25,ACTIVO
218,Residencial,29XXXX67,902XXX816,cliente00218***@correo.com,33,2023-03-17,ACTIVO
219,Residencial,55XXXX83,979XXX134,cliente00219***@correo.com,13,2023-08-07,ACTIVO
220,Comercial,47XXXX03,954XXX495,cliente00220***@correo.com,38,2019-08-16,ACTIVO
221,Residencial,19XXXX62,926XXX036,cliente00221***@correo.com,35,2022-03-28,ACTIVO
222,Comercial,47XXXX30,930XXX072,cliente00222***@correo.com,30,2022-05-27,ACTIVO
223,Residencial,96XXXX84,931XXX418,cliente00223***@correo.com,15,2021-06-13,ACTIVO
224,Residencial,41XXXX48,956XXX549,cliente00224***@correo.com,30,2022-01-15,ACTIVO
225,Residencial,43XXXX38,969XXX936,cliente00225***@correo.com,15,2018-12-26,ACTIVO
226,Residencial,74XXXX42,913XXX714,cliente00226***@correo.com,5,2021-02-22,ACTIVO
227,Residencial,22XXXX85,925XXX340,cliente00227***@correo.com,9,2019-12-07,ACTIVO
228,Alumbrado Público,10XXXX79,984XXX582,cliente00228***@correo.com,13,2022-11-08,ACTIVO
229,Residencial,43XXXX66,984XXX691,cliente00229***@correo.com,7,2022-02-17,ACTIVO
230,Residencial,22XXXX29,977XXX643,cliente00230***@correo.com,15,2020-05-18,ACTIVO
231,Residencial,58XXXX84,941XXX165,cliente00231***@correo.com,43,2024-02-23,ACTIVO
232,Residencial,47XXXX34,983XXX772,cliente00232***@correo.com,39,2018-11-28,ACTIVO
233,Residencial,98XXXX79,924XXX996,cliente00233***@correo.com,27,2024-03-19,ACTIVO
234,Residencial,46XXXX28,935XXX176,cliente00234***@correo.com,33,2019-07-19,ACTIVO
235,Residencial,42XXXX94,947XXX999,cliente00235***@correo.com,7,2018-06-20,ACTIVO
236,Residencial,11XXXX98,912XXX551,cliente00236***@correo.com,26,2018-07-06,ACTIVO
237,Residencial,15XXXX51,973XXX139,cliente00237***@correo.com,29,2021-04-20,ACTIVO
238,Comercial,11XXXX84,996XXX225,cliente00238***@correo.com,5,2022-05-23,ACTIVO
239,Residencial,57XXXX68,983XXX849,cliente00239***@correo.com,12,2019-10-03,ACTIVO
240,Residencial,70XXXX57,962XXX380,cliente00240***@correo.com,39,2020-05-17,ACTIVO
241,Residencial,50XXXX51,951XXX812,cliente00241***@correo.com,3,2020-08-13,ACTIVO
242,Gobierno,52XXXX70,958XXX520,cliente00242***@correo.com,38,2024-08-07,ACTIVO
243,Residencial,57XXXX14,920XXX793,cliente00243***@correo.com,7,2018-03-05,ACTIVO
244,Residencial,22XXXX38,981XXX051,cliente00244***@correo.com,19,2021-01-02,INACTIVO
245,Residencial,77XXXX93,903XXX794,cliente00245***@correo.com,15,2021-04-11,ACTIVO
246,Residencial,97XXXX08,994XXX720,cliente00246***@correo.com,7,2022-05-21,ACTIVO
247,Residencial,40XXXX06,969XXX375,cliente00247***@correo.com,6,2018-01-24,ACTIVO
248,Residencial,87XXXX60,994XXX024,cliente00248***@correo.com,30,2024-01-27,ACTIVO
249,Residencial,43XXXX83,927XXX519,cliente00249***@correo.com,5,2021-02-09,ACTIVO
250,Residencial,14XXXX56,950XXX725,cliente00250***@correo.com,21,2024-11-14,ACTIVO
251,Residencial,80XXXX50,919XXX180,cliente00251***@correo.com,28,2018-07-31,ACTIVO
252,Gobierno,90XXXX43,926XXX596,cliente00252***@correo.com,12,2019-06-08,ACTIVO
253,Residencial,59XXXX62,917XXX913,cliente00253***@correo.com,28,2020-02-26,ACTIVO
254,Residencial,63XXXX15,989XXX979,cliente00254***@correo.com,4,2023-03-09,ACTIVO
255,Residencial,50XXXX06,938XXX567,cliente00255***@correo.com,26,2019-12-18,ACTIVO
256,Residencial,55XXXX84,904XXX744,cliente00256***@correo.com,40,2022-04-15,ACTIVO
257,Residencial,58XXXX64,981XXX007,cliente00257***@correo.com,40,2022-07-01,ACTIVO
258,Residencial,36XXXX88,964XXX045,cliente00258***@correo.com,41,2020-03-30,ACTIVO
259,Residencial,74XXXX65,957XXX041,cliente00259***@correo.com,26,2020-07-28,ACTIVO
260,Residencial,17XXXX87,960XXX399,cliente00260***@correo.com,17,2023-06-12,ACTIVO
261,Residencial,61XXXX91,964XXX079,cliente00261***@correo.com,43,2021-05-09,ACTIVO
262,Comercial,13XXXX97,937XXX472,cliente00262***@correo.com,3,2018-05-06,ACTIVO
263,Residencial,14XXXX06,944XXX625,cliente00263***@correo.com,18,2022-06-17,ACTIVO
264,Residencial,59XXXX07,945XXX017,cliente00264***@correo.com,43,2023-05-08,ACTIVO
265,Residencial,47XXXX44,908XXX697,cliente00265***@correo.com,7,2022-12-26,ACTIVO
266,Residencial,81XXXX95,978XXX538,cliente00266***@correo.com,3,2018-11-08,ACTIVO
267,Residencial,20XXXX33,985XXX328,cliente00267***@correo.com,15,2022-01-14,ACTIVO
268,Residencial,33XXXX23,996XXX234,cliente00268***@correo.com,19,2020-03-05,ACTIVO
269,Residencial,67XXXX69,916XXX708,cliente00269***@correo.com,43,2020-06-22,ACTIVO
270,Residencial,62XXXX25,954XXX514,cliente00270***@correo.com,28,2019-07-30,ACTIVO
271,Residencial,42XXXX58,964XXX163,cliente00271***@correo.com,15,2023-01-24,ACTIVO
272,Residencial,21XXXX28,998XXX714,cliente00272***@correo.com,6,2024-04-22,ACTIVO
273,Residencial,22XXXX81,922XXX931,cliente00273***@correo.com,1,2021-08-01,ACTIVO
274,Residencial,91XXXX28,962XXX000,cliente00274***@correo.com,15,2019-08-26,ACTIVO
275,Residencial,76XXXX69,991XXX378,cliente00275***@correo.com,41,2024-06-13,ACTIVO
276,Comercial,67XXXX75,919XXX310,cliente00276***@correo.com,26,2022-06-14,ACTIVO
277,Residencial,82XXXX29,940XXX507,cliente00277***@correo.com,41,2021-10-25,ACTIVO
278,Residencial,29XXXX50,933XXX119,cliente00278***@correo.com,24,2019-10-06,ACTIVO
279,Gobierno,53XXXX17,935XXX021,cliente00279***@correo.com,30,2023-12-24,ACTIVO
280,Residencial,33XXXX61,970XXX310,cliente00280***@correo.com,30,2023-08-07,ACTIVO
281,Residencial,60XXXX68,915XXX986,cliente00281***@correo.com,7,2018-02-22,ACTIVO
282,Residencial,91XXXX22,943XXX084,cliente00282***@correo.com,15,2021-10-05,ACTIVO
283,Residencial,84XXXX18,919XXX849,cliente00283***@correo.com,19,2018-05-31,INACTIVO
284,Residencial,95XXXX29,994XXX998,cliente00284***@correo.com,1,2024-06-14,ACTIVO
285,Residencial,78XXXX76,977XXX907,cliente00285***@correo.com,9,2023-01-09,ACTIVO
286,Residencial,29XXXX63,998XXX292,cliente00286***@correo.com,9,2022-07-09,ACTIVO
287,Residencial,14XXXX59,942XXX172,cliente00287***@correo.com,9,2023-12-25,ACTIVO
288,Residencial,94XXXX76,903XXX714,cliente00288***@correo.com,6,2023-07-09,ACTIVO
289,Comercial,52XXXX25,924XXX704,cliente00289***@correo.com,28,2020-01-28,ACTIVO
