id_suministro,id_cliente,id_ubicacion,direccion_suministro,nivel_tension,id_sist_electrico,fecha_alta_suministro,estado_suministro
1000020,16,40,Calle Los Pinos 3085,BT,4,2010-01-21 07:50:29,ACTIVO
1000021,17,39,Jr. San Martín 6737,BT,7,2010-04-23 14:31:49,ACTIVO
1000022,17,39,Psje. El Sol 2532,BT,3,2005-10-26 12:02:22,ACTIVO
1000023,18,28,Jr. Panamericana 3061,BT,3,2001-03-08 15:10:55,ACTIVO
1000024,19,26,Psje. Bolívar 8507,BT,3,2011-04-10 19:47:50,ACTIVO
1000025,20,7,Av. Universitaria 427,BT,1,2002-05-16 15:07:17,ACTIVO
1000026,21,3,Pasaje La Molina 3256,BT,4,2020-12-30 09:34:29,ACTIVO
1000027,22,41,Av. San Martín 8888,BT,2,2018-09-15 08:08:22,ACTIVO
1000028,23,3,Calle El Sol 2656,BT,6,2000-08-10 09:37:27,ACTIVO
1000029,24,26,Av. San Martín 1972,BT,6,2002-01-04 16:49:28,ACTIVO
1000030,25,9,Psje. Bolívar 2618,BT,4,2018-10-24 20:57:06,ACTIVO
1000031,26,14,Av. Panamericana 9921,BT,5,2009-07-21 20:46:33,ACTIVO
1000032,27,9,Calle Venezuela 6742,BT,8,2000-01-08 16:11:52,ACTIVO
1000033,28,9,Psje. Progreso 2004,BT,3,2016-10-02 05:06:40,ACTIVO
1000034,29,15,Psje. Grau 489,BT,5,2006-04-27 00:01:35,INACTIVO
1000035,29,15,Av. La Molina 8174,BT,1,2004-10-03 11:47:08,ACTIVO
1000036,30,9,Pasaje Progreso 9611,BT,7,2005-04-14 12:56:37,INACTIVO
1000037,31,15,Jr. Grau 6876,BT,5,2020-08-31 00:08:27,ACTIVO
1000038,31,15,Psje. El Sol 5617,BT,8,2016-08-06 15:25:35,ACTIVO
1000039,32,30,Psje. Grau 7174,BT,7,2003-01-16 08:42:54,INACTIVO
1000040,32,30,Psje. San Martín 4498,BT,1,2009-06-30 16:55:23,INACTIVO
1000041,33,27,Jr. Venezuela 6984,BT,5,2010-08-06 08:05:30,ACTIVO
1000042,34,28,Psje. Venezuela 8155,BT,3,2009-07-14 12:02:19,ACTIVO
1000043,34,28,Jr. Los Pinos 429,BT,2,2014-05-23 07:47:13,ACTIVO
1000044,35,9,Calle Los Pinos 6146,BT,3,2017-07-04 23:44:06,ACTIVO
1000045,36,1,Pasaje Los Pinos 6968,BT,1,2017-06-16 03:27:42,ACTIVO
1000046,37,6,Calle Venezuela 9381,MT,3,2003-03-27 15:32:31,ACTIVO
1000047,38,30,Av. La Molina 7490,BT,6,2015-06-01 06:10:44,ACTIVO
1000048,38,30,Av. Bolívar 1582,BT,8,2000-07-06 20:06:44,ACTIVO
1000049,39,9,Psje. Bolívar 590,BT,5,2002-09-28 04:00:07,ACTIVO
1000050,40,36,Calle Panamericana 8538,BT,2,2008-11-15 12:31:04,ACTIVO
1000051,41,33,Av. San Martín 337,BT,1,2018-02-25 02:47:08,ACTIVO
1000052,42,17,Pasaje San Martín 5593,BT,7,2010-12-19 21:15:40,ACTIVO
1000053,43,28,Psje. Los Pinos 8153,BT,2,2013-10-03 09:12:33,ACTIVO
1000054,44,36,Calle Panamericana 2710,BT,1,2004-12-25 02:49:22,ACTIVO
1000055,45,26,Jr. San Martín 1933,BT,3,2014-08-20 22:46:57,ACTIVO
1000056,46,25,Jr. El Sol 1004,BT,6,2018-08-08 16:42:47,ACTIVO
1000057,47,29,Calle Progreso 7783,BT,8,2005-07-04 00:09:03,ACTIVO
1000058,48,9,Calle Bolívar 4038,BT,7,2002-11-05 00:13:02,ACTIVO
1000059,49,7,Psje. Universitaria 1924,BT,7,2005-01-20 22:34:35,ACTIVO
1000060,50,3,Calle Los Pinos 8784,BT,4,2001-04-14 12:22:12,ACTIVO
1000061,51,7,Calle Progreso 8882,BT,6,2002-07-14 08:49:09,ACTIVO
1000062,52,29,Calle San Martín 1831,BT,6,2003-05-08 09:43:01,ACTIVO
1000063,53,7,Jr. Grau 1028,BT,5,2015-01-10 11:13:40,ACTIVO
1000064,54,15,Calle Universitaria 154,BT,1,2004-06-19 03:12:56,ACTIVO
1000065,55,29,Av. La Molina 6631,BT,5,2003-09-20 18:39:50,ACTIVO
1000066,56,7,Psje. San Martín 6409,BT,8,2022-07-07 00:00:00,ACTIVO
1000067,57,4,Calle El Sol 4624,BT,1,2013-08-27 20:01:35,ACTIVO
1000068,57,4,Psje. San Martín 3722,BT,2,2015-06-14 07:41:41,ACTIVO
1000069,58,21,Psje. Progreso 5580,BT,8,2012-04-06 00:02:50,ACTIVO
1000070,59,12,Calle Venezuela 6806,BT,7,2009-06-25 17:35:46,ACTIVO
1000071,60,7,Calle Grau 9759,BT,6,2018-08-28 06:57:31,ACTIVO
1000072,60,7,Jr. Panamericana 1820,BT,2,2016-06-08 15:36:42,ACTIVO
1000073,61,43,Psje. La Molina 6351,BT,2,2020-10-24 23:40:30,ACTIVO
1000074,62,29,Jr. San Martín 6424,BT,2,2010-09-21 01:57:33,ACTIVO
1000075,63,34,Pasaje Bolívar 6852,BT,1,2006-08-10 08:48:42,ACTIVO
1000076,64,43,Av. La Molina 4899,BT,8,2011-03-05 16:05:43,ACTIVO
1000077,65,9,Calle Los Pinos 7996,BT,5,2016-12-20 01:10:00,ACTIVO
1000078,66,1,Calle Progreso 288,BT,4,2001-05-28 12:54:48,ACTIVO
1000079,67,37,Pasaje Venezuela 6672,BT,8,2000-10-30 20:45:06,ACTIVO
1000080,68,13,Pasaje La Molina 8047,BT,7,2002-02-16 20:46:19,ACTIVO
1000081,69,43,Av. Universitaria 6230,BT,1,2004-05-24 07:15:03,ACTIVO
1000082,69,43,Pasaje La Molina 1063,BT,1,2005-07-15 19:37:48,ACTIVO
1000083,70,17,Pasaje Panamericana 8448,BT,7,2023-10-22 00:00:00,ACTIVO
1000084,71,35,Psje. Universitaria 8509,BT,4,2004-06-27 02:49:30,ACTIVO
1000085,72,28,Pasaje Venezuela 2107,BT,3,2005-01-25 10:01:04,ACTIVO
1000086,73,9,Jr. Bolívar 1117,BT,1,2012-02-04 12:00:09,ACTIVO
1000087,74,29,Pasaje Grau 8837,BT,6,2010-10-06 00:30:12,ACTIVO
1000088,75,40,Jr. Grau 3036,BT,4,2006-03-23 08:19:52,ACTIVO
1000089,76,31,Calle San Martín 8625,BT,6,2005-11-23 22:47:15,ACTIVO
1000090,77,7,Psje. Los Pinos 7846,BT,3,2011-05-03 06:58:50,ACTIVO
1000091,78,28,Pasaje Universitaria 8874,BT,2,2003-08-17 08:02:27,ACTIVO
1000092,79,42,Av. Universitaria 1205,BT,3,2018-04-11 00:10:48,ACTIVO
1000093,80,9,Psje. Panamericana 8876,MT,3,2009-08-13 12:40:47,ACTIVO
1000094,81,29,Calle Los Pinos 6737,BT,4,2007-10-22 15:04:26,ACTIVO
1000095,82,26,Jr. San Martín 3506,BT,3,2011-02-26 13:24:44,ACTIVO
1000096,83,3,Calle El Sol 8437,BT,6,2006-05-26 18:50:55,ACTIVO
1000097,84,29,Psje. El Sol 2850,BT,1,2006-09-12 12:29:09,ACTIVO
1000098,85,9,Jr. Progreso 8072,BT,7,2011-10-29 09:24:16,ACTIVO
1000099,86,26,Jr. Progreso 4260,BT,7,2016-08-22 12:23:04,ACTIVO
1000100,86,26,Av. Universitaria 2814,BT,4,2016-03-25 08:47:16,ACTIVO
1000101,87,15,Jr. San Martín 9486,BT,5,2014-05-13 02:24:25,ACTIVO
1000102,87,15,Jr. Los Pinos 9210,BT,5,2013-11-14 15:38:47,ACTIVO
1000103,88,5,Pasaje La Molina 8838,BT,5,2018-11-07 15:12:20,ACTIVO
1000104,89,43,Calle Los Pinos 2211,BT,6,2005-10-23 20:47:11,ACTIVO
1000105,89,43,Psje. Los Pinos 2223,MT,4,2009-10-31 08:33:34,ACTIVO
1000106,90,3,Jr. Venezuela 7903,BT,6,2003-08-30 07:13:15,ACTIVO
1000107,91,21,Av. El Sol 9417,BT,4,2004-06-29 18:11:26,ACTIVO
1000108,91,21,Jr. La Molina 8207,BT,7,2006-08-11 20:36:53,ACTIVO
1000109,92,15,Jr. El Sol 9920,BT,5,2007-09-28 07:17:08,ACTIVO
1000110,93,14,Psje. Panamericana 9065,BT,1,2002-10-01 01:30:42,ACTIVO
1000111,94,11,Pasaje Venezuela 4433,BT,6,2001-11-09 03:34:24,ACTIVO
1000112,95,12,Calle Grau 205,BT,5,2004-11-25 19:47:45,ACTIVO
1000113,96,7,Pasaje La Molina 6483,BT,1,2003-05-15 06:38:58,ACTIVO
1000114,97,1,Pasaje Grau 7938,BT,4,2000-08-14 14:34:20,ACTIVO
1000115,98,28,Psje. Bolívar 4057,BT,1,2004-07-14 05:47:54,ACTIVO
1000116,98,28,Pasaje San Martín 9177,BT,2,2013-06-29 12:19:37,ACTIVO
1000117,99,38,Jr. El Sol 8019,BT,8,2003-06-23 10:47:26,ACTIVO
1000118,100,15,Av. Progreso 5299,BT,3,2012-07-26 03:14:06,ACTIVO
1000119,101,7,Pasaje Universitaria 3435,BT,5,2007-09-14 06:35:49,ACTIVO
1000120,102,15,Pasaje Progreso 1129,BT,6,2017-02-13 15:37:25,ACTIVO
1000121,103,42,Calle Panamericana 7260,BT,4,2000-11-17 18:00:15,ACTIVO
1000122,103,42,Calle El Sol 1357,BT,7,2007-09-05 02:55:09,ACTIVO
1000123,104,5,Av. Venezuela 5101,BT,6,2011-05-31 21:45:07,ACTIVO
1000124,105,30,Calle Los Pinos 5180,MT,8,2007-03-02 16:27:08,ACTIVO
1000125,106,36,Av. Universitaria 4301,BT,7,2023-06-17 00:00:00,ACTIVO
1000126,107,17,Psje. Progreso 3432,BT,6,2009-03-25 02:51:24,ACTIVO
1000127,107,17,Psje. La Molina 4764,BT,7,2005-02-18 17:35:52,ACTIVO
1000128,108,36,Calle Universitaria 7482,BT,5,2007-12-04 10:32:11,ACTIVO
1000129,109,3,Av. La Molina 2867,BT,1,2009-12-13 21:00:09,ACTIVO
1000130,110,30,Psje. Venezuela 789,BT,2,2007-06-18 21:37:41,ACTIVO
1000131,111,9,Psje. Universitaria 956,BT,8,2020-03-11 23:53:35,ACTIVO
1000132,112,39,Psje. Progreso 2176,BT,1,2014-08-03 00:03:44,ACTIVO
1000133,113,40,Psje. Los Pinos 8759,BT,5,2017-04-13 21:47:32,ACTIVO
1000134,114,15,Calle Universitaria 8013,BT,5,2011-01-06 06:05:29,ACTIVO
1000135,115,6,Jr. Progreso 3876,BT,3,2011-10-29 07:05:29,ACTIVO
1000136,116,29,Psje. Progreso 7174,BT,7,2009-01-19 11:18:31,ACTIVO
1000137,117,7,Calle Progreso 5321,BT,3,2012-08-22 17:59:26,ACTIVO
1000138,118,29,Calle Progreso 4885,BT,2,2004-02-10 15:34:46,ACTIVO
1000139,119,28,Psje. Bolívar 7342,BT,8,2019-04-04 08:10:25,ACTIVO
1000140,120,9,Av. Venezuela 8641,BT,3,2000-01-21 21:53:41,ACTIVO
1000141,121,39,Pasaje Progreso 5994,MT,8,2005-05-29 18:20:19,ACTIVO
1000142,121,39,Calle Los Pinos 1000,BT,8,2005-03-10 04:09:03,ACTIVO
1000143,122,5,Psje. Bolívar 2535,BT,5,2003-10-12 09:02:45,ACTIVO
1000144,123,26,Calle El Sol 3618,BT,2,2002-09-29 05:15:40,ACTIVO
1000145,124,38,Calle Panamericana 9998,BT,5,2010-12-20 01:44:48,ACTIVO
1000146,125,33,Pasaje Grau 7079,BT,6,2014-09-14 02:27:39,ACTIVO
1000147,126,40,Psje. El Sol 8459,BT,5,2012-02-18 21:29:51,ACTIVO
1000148,127,39,Pasaje La Molina 7928,BT,6,2016-03-03 12:54:07,ACTIVO
1000149,128,38,Jr. Bolívar 9206,BT,3,2013-11-30 22:39:10,ACTIVO
1000150,129,7,Pasaje Panamericana 9571,BT,2,2018-11-20 05:49:30,ACTIVO
1000151,130,31,Psje. Venezuela 7278,BT,8,2019-10-11 03:50:21,ACTIVO
1000152,131,5,Pasaje Los Pinos 435,BT,2,2004-01-22 05:17:59,ACTIVO
1000153,132,26,Av. Progreso 602,BT,8,2004-12-27 03:01:32,ACTIVO
1000154,133,38,Pasaje Panamericana 5811,BT,4,2015-11-25 03:27:18,ACTIVO
1000155,134,43,Pasaje Venezuela 8010,BT,4,2000-05-25 07:09:22,ACTIVO
1000156,135,31,Pasaje Venezuela 5722,BT,8,2018-06-20 22:39:32,ACTIVO
1000157,135,31,Pasaje Panamericana 5582,BT,8,2014-04-08 03:14:55,ACTIVO
1000158,136,32,Psje. Grau 6045,BT,4,2020-10-15 15:18:59,ACTIVO
1000159,137,21,Pasaje Panamericana 8417,BT,7,2001-04-03 10:52:21,ACTIVO
1000160,138,3,Calle Universitaria 7340,BT,7,2009-07-26 21:42:05,ACTIVO
1000161,138,3,Psje. San Martín 9372,MT,2,2018-04-16 01:30:30,ACTIVO
1000162,138,3,Av. San Martín 7424,BT,7,2003-04-28 23:38:55,SUSPENDIDO
1000163,139,13,Av. Venezuela 3562,BT,8,2019-08-20 17:43:36,ACTIVO
1000164,140,13,Calle San Martín 1461,BT,5,2007-07-07 01:35:21,ACTIVO
1000165,141,5,Av. Panamericana 7187,BT,8,2006-08-27 01:12:10,ACTIVO
1000166,141,5,Jr. Panamericana 2967,BT,6,2004-09-04 15:42:24,ACTIVO
1000167,142,43,Psje. Bolívar 9712,BT,4,2007-01-10 06:29:54,ACTIVO
1000168,143,19,Calle Los Pinos 5427,BT,5,2002-01-19 18:30:11,ACTIVO
1000169,143,19,Av. San Martín 9531,BT,1,2006-05-07 15:26:16,ACTIVO
1000170,144,4,Jr. Los Pinos 9667,BT,2,2017-11-10 18:35:36,ACTIVO
1000171,145,36,Psje. Progreso 3257,BT,5,2006-07-04 12:52:30,ACTIVO
1000172,146,3,Jr. Los Pinos 174,BT,6,2011-06-03 12:26:07,ACTIVO
1000173,147,9,Calle Venezuela 1534,BT,1,2003-02-09 18:00:50,ACTIVO
1000174,147,9,Av. Bolívar 546,BT,5,2012-08-10 01:58:17,ACTIVO
1000175,148,37,Jr. La Molina 3414,BT,2,2018-04-20 23:12:11,ACTIVO
1000176,149,24,Psje. Progreso 8755,BT,4,2013-11-20 22:21:02,SUSPENDIDO
1000177,150,15,Calle Bolívar 9175,BT,2,2013-06-30 07:53:35,INACTIVO
1000178,151,13,Jr. Grau 2910,BT,3,2013-02-11 01:46:47,ACTIVO
1000179,152,4,Calle Venezuela 6944,BT,4,2007-12-07 03:01:02,ACTIVO
1000180,153,4,Jr. Panamericana 3836,BT,5,2014-08-18 17:18:04,ACTIVO
1000181,154,4,Calle Progreso 8442,BT,2,2010-01-14 08:42:39,ACTIVO
1000182,155,7,Jr. San Martín 8802,BT,6,2010-02-20 19:25:58,ACTIVO
1000183,156,28,Jr. Los Pinos 4039,BT,3,2019-12-12 18:16:45,ACTIVO
1000184,156,28,Jr. Progreso 5775,BT,6,2001-06-23 18:41:04,ACTIVO
1000185,157,33,Av. Progreso 4346,BT,5,2006-12-04 01:25:15,ACTIVO
1000186,158,43,Calle Los Pinos 2130,BT,8,2018-01-25 23:39:28,ACTIVO
1000187,159,22,Calle La Molina 5295,BT,2,2014-06-25 02:41:09,ACTIVO
1000188,159,22,Av. Grau 1513,BT,3,2007-02-24 20:03:09,ACTIVO
1000189,160,9,Jr. Progreso 5641,BT,7,2000-01-22 05:32:38,ACTIVO
1000190,160,9,Jr. El Sol 4819,MT,2,2001-11-08 09:03:29,ACTIVO
1000191,161,38,Calle Venezuela 8681,BT,4,2008-04-22 05:02:05,ACTIVO
1000192,162,15,Pasaje Venezuela 6255,BT,6,2008-06-14 21:25:01,ACTIVO
1000193,162,15,Psje. La Molina 8406,BT,2,2010-08-27 02:09:00,ACTIVO
1000194,163,15,Pasaje La Molina 4903,BT,5,2010-08-02 10:01:11,ACTIVO
1000195,164,15,Calle Universitaria 2445,BT,3,2005-11-26 14:06:29,INACTIVO
1000196,165,15,Av. Los Pinos 1794,BT,1,2013-01-23 02:41:54,ACTIVO
1000197,166,13,Av. San Martín 3335,BT,8,2020-01-02 07:29:51,INACTIVO
1000198,167,29,Psje. Progreso 6034,BT,6,2018-11-18 15:09:13,ACTIVO
1000199,168,6,Av. Grau 1656,BT,4,2017-11-09 16:50:45,ACTIVO
1000200,169,28,Psje. La Molina 9920,BT,2,2013-07-08 11:25:03,ACTIVO
1000201,170,9,Calle Bolívar 2954,BT,3,2003-06-24 18:03:37,ACTIVO
1000202,171,43,Pasaje Panamericana 4758,BT,3,2005-12-08 06:56:26,ACTIVO
1000203,172,43,Calle Bolívar 8716,BT,1,2014-01-24 00:46:20,ACTIVO
1000204,173,19,Jr. Bolívar 574,BT,7,2000-04-30 23:34:22,ACTIVO
1000205,174,15,Av. Grau 8923,BT,1,2017-10-04 08:12:03,ACTIVO
1000206,175,7,Psje. La Molina 518,BT,4,2011-11-28 09:01:01,ACTIVO
1000207,175,7,Psje. Venezuela 5194,BT,4,2012-01-22 19:41:03,ACTIVO
1000208,176,4,Av. Bolívar 8468,BT,3,2010-10-01 16:41:32,ACTIVO
1000209,177,5,Av. La Molina 8944,BT,6,2019-05-06 21:37:09,ACTIVO
1000210,178,26,Jr. El Sol 4288,BT,6,2005-01-29 17:01:00,ACTIVO
1000211,179,33,Psje. Panamericana 7950,BT,4,2010-05-20 23:11:32,ACTIVO
1000212,180,8,Calle El Sol 1101,BT,8,2013-03-05 09:17:16,ACTIVO
1000213,180,8,Pasaje Venezuela 6551,BT,8,2017-07-21 18:01:15,ACTIVO
1000214,181,30,Pasaje Bolívar 1724,BT,3,2001-09-11 08:00:21,ACTIVO
1000215,182,39,Psje. San Martín 8791,BT,4,2016-05-19 13:57:46,ACTIVO
1000216,183,9,Calle Venezuela 270,BT,2,2011-07-15 16:16:20,ACTIVO
1000217,184,20,Pasaje Universitaria 7900,BT,6,2020-02-24 11:18:12,ACTIVO
1000218,185,3,Jr. Progreso 5097,BT,6,2001-05-27 07:16:28,ACTIVO
1000219,186,7,Calle Progreso 8166,BT,2,2016-10-30 15:16:56,ACTIVO
1000220,187,7,Av. Los Pinos 1314,BT,4,2020-08-25 19:26:24,ACTIVO
1000221,188,27,Pasaje Venezuela 1446,BT,5,2015-01-25 16:54:31,ACTIVO
1000222,189,18,Jr. San Martín 4905,BT,6,2018-12-27 11:39:35,ACTIVO
1000223,189,18,Jr. Progreso 5552,MT,1,2012-09-19 21:19:26,ACTIVO
1000224,189,18,Pasaje Progreso 6949,BT,6,2003-08-10 15:03:35,ACTIVO
1000225,190,11,Calle Grau 5060,BT,7,2003-02-27 06:53:29,ACTIVO
1000226,191,4,Jr. La Molina 1034,BT,6,2019-07-28 10:58:18,ACTIVO
1000227,192,3,Pasaje San Martín 1373,BT,7,2002-05-04 15:01:21,ACTIVO
1000228,192,3,Psje. Bolívar 3612,BT,1,2005-06-22 13:29:13,ACTIVO
1000229,193,4,Psje. Panamericana 8639,BT,1,2011-09-07 13:19:12,ACTIVO
1000230,194,10,Av. Bolívar 5589,BT,1,2000-10-27 06:03:44,ACTIVO
1000231,194,10,Jr. Universitaria 9288,BT,1,2016-07-19 08:13:50,ACTIVO
1000232,195,13,Pasaje Panamericana 5417,BT,4,2000-06-09 08:21:00,ACTIVO
1000233,196,43,Calle Bolívar 4074,BT,5,2020-11-30 21:47:03,ACTIVO
1000234,197,9,Jr. Bolívar 3691,BT,8,2009-09-07 14:59:33,ACTIVO
1000235,198,15,Calle Venezuela 7022,BT,5,2004-10-06 07:09:21,ACTIVO
1000236,199,26,Jr. Venezuela 9285,BT,4,2002-11-26 10:01:15,ACTIVO
1000237,200,7,Pasaje La Molina 6070,BT,5,2012-10-28 02:58:52,ACTIVO
1000238,201,25,Psje. Universitaria 6579,BT,5,2011-09-02 08:38:49,ACTIVO
1000239,202,34,Pasaje San Martín 8566,BT,1,2014-08-24 07:07:29,ACTIVO
1000240,203,10,Calle San Martín 4430,BT,2,2020-11-24 14:59:27,ACTIVO
1000241,204,39,Calle Grau 6312,BT,8,2003-02-09 06:29:10,ACTIVO
1000242,205,16,Jr. San Martín 9717,BT,4,2003-06-06 00:04:49,ACTIVO
1000243,206,43,Pasaje Grau 3581,BT,8,2019-06-13 16:39:09,ACTIVO
1000244,207,29,Jr. Venezuela 8722,BT,3,2015-07-19 01:23:50,ACTIVO
1000245,208,9,Av. Progreso 4135,BT,1,2018-04-10 15:25:34,ACTIVO
1000246,208,9,Psje. Los Pinos 9284,BT,2,2006-04-20 09:11:26,ACTIVO
1000247,209,7,Calle Progreso 8662,BT,2,2016-03-15 00:26:09,ACTIVO
1000248,209,7,Jr. Panamericana 2158,BT,3,2004-02-10 01:17:04,ACTIVO
1000249,209,7,Jr. Universitaria 446,BT,1,2000-08-10 14:37:38,ACTIVO
1000250,210,26,Calle Universitaria 8967,BT,4,2007-12-26 19:46:36,ACTIVO
1000251,211,5,Av. Bolívar 8661,MT,1,2018-04-25 08:23:39,ACTIVO
1000252,212,16,Psje. Progreso 5669,BT,4,2009-10-24 21:41:53,ACTIVO
1000253,213,12,Calle Universitaria 2640,BT,4,2007-05-25 14:13:27,ACTIVO
1000254,214,9,Calle Panamericana 206,BT,4,2009-02-16 22:53:45,ACTIVO
1000255,215,35,Pasaje El Sol 4054,BT,3,2016-02-06 11:56:43,ACTIVO
1000256,216,15,Calle Bolívar 2590,BT,7,2014-03-11 02:13:24,ACTIVO
1000257,217,38,Pasaje Universitaria 8273,BT,5,2007-03-04 16:27:04,ACTIVO
1000258,218,33,Jr. La Molina 3492,BT,5,2020-10-18 19:24:42,ACTIVO
1000259,219,13,Av. Grau 5926,BT,3,2015-05-05 15:40:25,ACTIVO
1000260,220,38,Jr. Los Pinos 4083,MT,8,2002-09-04 12:45:33,ACTIVO
1000261,220,38,Psje. Panamericana 2748,BT,7,2016-10-22 00:13:17,ACTIVO
1000262,221,35,Psje. Panamericana 1142,BT,1,2019-01-03 09:13:11,ACTIVO
1000263,222,30,Pasaje Panamericana 948,BT,1,2001-04-02 07:53:34,ACTIVO
1000264,223,15,Pasaje Los Pinos 2442,BT,6,2000-03-15 09:47:15,ACTIVO
1000265,224,30,Av. El Sol 5488,BT,7,2015-09-05 12:52:55,ACTIVO
1000266,224,30,Calle Universitaria 6372,BT,1,2006-05-03 03:03:31,ACTIVO
1000267,224,30,Calle La Molina 547,BT,5,2006-03-08 20:30:06,ACTIVO
1000268,225,15,Jr. El Sol 7895,BT,5,2008-09-24 08:19:09,ACTIVO
1000269,226,5,Psje. Bolívar 996,BT,6,2017-02-02 11:24:48,ACTIVO
1000270,226,5,Av. La Molina 5660,BT,4,2019-05-04 20:25:59,ACTIVO
1000271,227,9,Av. Universitaria 1200,BT,4,2008-08-06 15:24:36,ACTIVO
1000272,228,13,Calle Universitaria 7462,BT,2,2006-08-21 06:15:19,ACTIVO
1000273,229,7,Psje. Bolívar 5836,BT,3,2000-10-14 08:56:29,ACTIVO
1000274,230,15,Calle El Sol 5033,BT,2,2016-07-03 16:50:35,ACTIVO
1000275,231,43,Av. Venezuela 679,BT,4,2011-09-16 00:40:08,ACTIVO
1000276,231,43,Calle El Sol 6108,BT,2,2005-03-15 01:09:57,ACTIVO
1000277,232,39,Pasaje San Martín 6363,BT,3,2010-09-23 14:15:08,ACTIVO
1000278,232,39,Jr. Grau 9260,BT,4,2002-11-26 04:22:06,ACTIVO
1000279,232,39,Av. Grau 1776,BT,8,2011-08-28 08:42:09,ACTIVO
1000280,233,27,Pasaje Bolívar 5488,BT,5,2018-04-06 19:00:09,ACTIVO
1000281,234,33,Jr. Panamericana 1215,BT,5,2009-12-19 01:32:03,ACTIVO
1000282,235,7,Pasaje El Sol 479,BT,2,2007-04-15 00:05:45,ACTIVO
1000283,236,26,Psje. Progreso 3441,BT,1,2015-10-03 06:02:12,ACTIVO
1000284,236,26,Pasaje Panamericana 3480,BT,2,2009-08-06 14:44:13,ACTIVO
1000285,237,29,Psje. Grau 5903,BT,6,2001-07-28 06:56:48,ACTIVO
1000286,238,5,Av. Venezuela 8218,BT,8,2011-12-22 01:40:05,ACTIVO
1000287,239,12,Calle La Molina 354,BT,5,2002-11-24 13:49:44,ACTIVO
1000288,239,12,Jr. Los Pinos 7356,BT,5,2004-08-17 18:06:40,ACTIVO
1000289,240,39,Psje. San Martín 1720,BT,8,2005-10-22 03:13:17,ACTIVO
1000290,241,3,Pasaje Bolívar 5761,BT,5,2009-04-05 07:21:09,ACTIVO
1000291,242,38,Pasaje Progreso 8408,BT,3,2004-05-01 17:06:56,ACTIVO
1000292,242,38,Calle Los Pinos 6445,BT,5,2012-07-18 00:37:10,ACTIVO
1000293,242,38,Calle Panamericana 6319,MT,7,2002-10-21 18:54:20,ACTIVO
1000294,243,7,Pasaje Venezuela 3564,BT,8,2002-02-25 12:44:18,ACTIVO
1000295,244,19,Av. Progreso 5971,BT,5,2000-06-29 19:59:01,ACTIVO
1000296,245,15,Pasaje Venezuela 9694,MT,7,2008-02-06 16:27:42,ACTIVO
1000297,246,7,Pasaje La Molina 8881,BT,1,2018-08-10 09:43:27,ACTIVO
1000298,247,6,Jr. Bolívar 5436,BT,5,2009-05-13 10:52:09,ACTIVO
1000299,248,30,Jr. La Molina 4336,BT,8,2009-09-07 03:00:01,ACTIVO
1000300,249,5,Calle San Martín 7001,BT,3,2020-10-11 02:49:03,ACTIVO
1000301,250,21,Pasaje La Molina 433,BT,7,2018-12-02 09:33:49,ACTIVO
1000302,251,28,Psje. Bolívar 5422,BT,7,2024-12-23 00:00:00,ACTIVO
1000303,252,12,Av. Los Pinos 2108,BT,8,2009-11-14 23:51:30,ACTIVO
1000304,253,28,Jr. Los Pinos 8759,BT,8,2017-06-01 03:48:30,ACTIVO
1000305,254,4,Jr. Panamericana 1363,BT,1,2002-12-27 17:02:51,ACTIVO
